0:00:01 - 0:00:13, [âm nhạc]
0:00:15 - 0:00:21, Cuối cùng là chúng ta sẽ cùng
0:00:18 - 0:00:23, thử nghiệm sử dụng một cái phương pháp
0:00:21 - 0:00:26, trực quan hóa
0:00:23 - 0:00:28, nâng cao hơn so với lại cái phương pháp
0:00:26 - 0:00:31, mà sử dụng PCA đó là chúng ta sử dụng
0:00:28 - 0:00:33, phương pháp TSNI.
0:00:31 - 0:00:39, Thì ở đây chúng ta sẽ tạo ra à một vip
0:00:33 - 0:00:44, một cái prom đó là sử dụng à tsni
0:00:39 - 0:00:44, để trực quan hóa
0:00:45 - 0:00:50, các cái dữ liệu
0:00:47 - 0:00:53, đã được
0:00:50 - 0:00:53, phân cụm.
0:01:12 - 0:01:15, Rồi
0:01:16 - 0:01:23, đầu tiên đó là nó sẽ giảm TSCI từ 7 84
0:01:21 - 0:01:26, chiều xuống còn hai chiều.
0:01:23 - 0:01:29, Đó thì đây là cái code của mình và mình
0:01:26 - 0:01:31, sẽ lấy mẫu ha. Tức là vì cái thuật toán
0:01:29 - 0:01:33, này nó khá là phức tạp tính cái chi phí
0:01:31 - 0:01:35, tính toán lớn. Do đó mình chỉ lấy trên
0:01:33 - 0:01:38, một cái tập hợp con là khoảng 5000 mẫu
0:01:35 - 0:01:42, thôi. Đó thì cái ảnh góc của mình sẽ lấy
0:01:38 - 0:01:47, là 5000 mẫu. Rồi cái cụm của mình thì
0:01:42 - 0:01:49, cũng sẽ ờ lấy trong khoảng 5000 mẫu này.
0:01:47 - 0:01:52, Thì cái cluster này chính là những cái
0:01:49 - 0:01:56, cụm mà chúng ta đã gom trong cái lần thử
0:01:52 - 0:01:58, trước đây trên cái tập dữ liệu mà full
0:01:56 - 0:02:01, 784 chiều chứ không phải là thử nghiệm
0:01:58 - 0:02:05, trên hai chiều.
0:02:01 - 0:02:08, Rồi sau đó khai báo khởi tạo là TSN2.
0:02:05 - 0:02:14, Đó. Rồi sau đó chúng ta sẽ fit transform
0:02:08 - 0:02:16, cái X subset này vào TSNI thì nó sẽ ra
0:02:14 - 0:02:19, là cái X TSNI tức là đã giảm số chiều
0:02:16 - 0:02:24, với thuộc toán TSNI. Rồi sau đó chúng ta
0:02:19 - 0:02:27, sẽ ờ vẽ cái biểu đồ này ra.
0:02:24 - 0:02:28, Đó thì chúng ta thấy là
