0:00:01 - 0:00:15, [âm nhạc]
0:00:13 - 0:00:19, Như vậy thì chúng ta sẽ cùng tìm hiểu
0:00:15 - 0:00:21, xem cái lỗi là do gì. Thì rõ ràng cái
0:00:19 - 0:00:23, kích thước của cái náp la ở đây là không
0:00:21 - 0:00:26, đúng. Như vậy thì chúng ta sẽ rã cái này
0:00:23 - 0:00:30, ra thành từng bước
0:00:26 - 0:00:34, của chúng ta sẽ tính cái sig và xem coi
0:00:30 - 0:00:36, cái kích thú của nó là bao nhiêu.
0:00:34 - 0:00:39, Rồi tương tự như vậy chúng ta sẽ xem
0:00:36 - 0:00:41, kích thước của Y chấm sát xem cái kích
0:00:39 - 0:00:46, thước của nó là bao nhiêu. Còn cái náp
0:00:41 - 0:00:46, la ở đây chúng ta sẽ tạm bỏ qua.
0:00:46 - 0:00:53, Rồi thì cái sigmo này nó sẽ có kích
0:00:49 - 0:00:58, thước là một hàng và 110 cột.
0:00:53 - 0:01:01, I sẽ là 110 à phần tử tức là một cái
0:00:58 - 0:01:03, vecơ. Vậy thì liệu hiệu của hai cái này
0:01:01 - 0:01:07, nó có tính toán ra được đúng là một cái
0:01:03 - 0:01:12, vecơ có 110 phần tử hay không? Thì chúng
0:01:07 - 0:01:12, ta sẽ lấy cái này trừ cho y.
0:01:12 - 0:01:19, Rồi chúng ta sẽ lấy cái này trừ cho y.
0:01:15 - 0:01:19, Rồi tất cả là tính sh
0:01:20 - 0:01:26, rồi để xem coi cái hiệu số này nó sẽ ra
0:01:22 - 0:01:29, là như thế nào. Ok thì khi chúng ta trừ
0:01:26 - 0:01:31, ra thì nó sẽ ra là một cái ma trận một
0:01:29 - 0:01:33, hàng và 110 cột. Như vậy là nó đã đúng ý
0:01:31 - 0:01:38, ta.
0:01:33 - 0:01:41, 110 cái à dự đoán trừ cho 110 cái giá
0:01:38 - 0:01:44, trị thực tế thì nó sẽ ra là 110 cái độ
0:01:41 - 0:01:49, lỗi. Vậy thì chúng ta sẽ xem xem cái x
0:01:44 - 0:01:49, của mình có kích thước là bao nhiêu.
0:01:51 - 0:01:57, X của mình thì nó lại là có kích thước
0:01:53 - 0:01:59, là 3 nhân cho 110. Thế thì ở đây chúng
0:01:57 - 0:02:01, ta thấy là để mà chúng ta có thể tạo ra
0:01:59 - 0:02:06, được cái nắp la một cái vecơ có số chiều
0:02:01 - 0:02:09, bằng với theta tức là 3 nhân 1 theta của
0:02:06 - 0:02:13, chúng ta là 3 hàng và 1 thì ở đây chúng
0:02:09 - 0:02:16, ta sẽ phải lấy cái x là 3 x 110 sau đó
0:02:13 - 0:02:18, chúng ta đi nhân với lại 1 110 thì nó
0:02:16 - 0:02:21, không nhân được do đó chúng ta sẽ chuyển
0:02:18 - 0:02:23, vị cái này chuyển vị cái hiệu này chúng
0:02:21 - 0:02:25, ta sẽ chuyển vị cái thành phần này. Như
0:02:23 - 0:02:29, vậy thì chúng ta sẽ sửa lại cái code này
0:02:25 - 0:02:31, là x à nhân thì chúng ta có thể là chấm
