0:00:01 - 0:00:13, [âm nhạc]
0:00:13 - 0:00:18, Chúng ta sẽ cùng đến với một phần rất là
0:00:15 - 0:00:20, quan trọng trong lập trình với các cái
0:00:18 - 0:00:24, mô hình dựa trên gradient đó chính là
0:00:20 - 0:00:26, vector hóa cái thực toán radian design.
0:00:24 - 0:00:29, Chúng ta sẽ cùng nhắc lại thực toán Rent
0:00:26 - 0:00:32, Decens thì khởi tạo của chúng ta là sẽ
0:00:29 - 0:00:35, có các cái tham số của mô hình là W và
0:00:32 - 0:00:39, B. Trong đó W thì tương ứng là cái trọng
0:00:35 - 0:00:42, số của cái đặc trưng đầu bào X B là cho
0:00:39 - 0:00:45, cái thành phần là bias.
0:00:42 - 0:00:51, Và dữ liệu đầu bào của chúng ta thì sẽ
0:00:45 - 0:00:55, bao gồm là các cái mẫu dữ liệu là x1, x2
0:00:51 - 0:00:57, cho đến à x tướng m.
0:00:55 - 0:01:02, Và tương tự như vậy thì y tức là cái
0:00:57 - 0:01:05, nhãn đầu ra chúng ta cũng sẽ có i1, I2
0:01:02 - 0:01:05, cho đến im.
0:01:06 - 0:01:11, Rồi thì khi chúng ta có được cái x và y
0:01:09 - 0:01:13, chúng ta thế vào đây thì chúng ta sẽ
0:01:11 - 0:01:17, tính được cái đạo hàm. À ở đây chúng ta
0:01:13 - 0:01:18, lưu ý là cái chỉ số chúng ta sẽ không để
0:01:17 - 0:01:21, dưới giống như trên hình ha. Và chúng ta
0:01:18 - 0:01:26, để cái chỉ số ở trên thì cái cách viết
0:01:21 - 0:01:30, của mình sẽ là x thứ nhất
0:01:26 - 0:01:34, x thứ hai là mẫu dữ liệu thứ hai. Rồi
0:01:30 - 0:01:36, mẫu dữ liệu thứ m.
0:01:34 - 0:01:40, Rồi y thì cũng vậy. Y sẽ là mẫu dữ liệu
0:01:36 - 0:01:42, thứ nhất, thứ hai
0:01:40 - 0:01:45, và
0:01:42 - 0:01:45, thứ m.
0:01:47 - 0:01:50, Thế thì ở đây chúng ta sẽ đặt câu hỏi là
0:01:49 - 0:01:53, tại sao chúng ta không ký hiệu ở bên
0:01:50 - 0:01:56, dưới để cho nó thuận tiện. Nó có lý do
0:01:53 - 0:02:00, của nó đó là trong trường hợp mô hình
0:01:56 - 0:02:01, này chúng ta mở rộng sang cái à đa biến
0:02:00 - 0:02:04, tức là một cái đặc trưng đầu vào của
0:02:01 - 0:02:07, chúng ta sẽ có nhiều biến đầu vào thì
0:02:04 - 0:02:09, khi đó cái chỉ số bên dưới sẽ dùng để
0:02:07 - 0:02:13, minh họa cho các cái đặc trưng của mình.
0:02:09 - 0:02:16, Lấy ví dụ à mẫu dữ liệu thứ nhất chúng
0:02:13 - 0:02:18, ta sẽ có đặc trưng thứ nhất của mẫu dữ
0:02:16 - 0:02:21, liệu thứ nhất. Ví dụ như đây là diện
0:02:18 - 0:02:24, tích của một căn nhà. Mẫu dữ liệu thứ
0:02:21 - 0:02:28, nhất và cái đặc trưng thứ hai ví dụ như
0:02:24 - 0:02:32, là cái số phòng ngủ rồi mẫu dữ liệu thứ
0:02:28 - 0:02:33, nhất và cho cái mẫu đặc trưng thứ ba ví
0:02:32 - 0:02:36, dụ như là chiều cao của tòa nhà. Ví dụ
0:02:33 - 0:02:39, vậy thì đây chính là cái phần chỉ số bên
0:02:36 - 0:02:42, dưới để dùng để đánh số cái số lượng đặc
0:02:39 - 0:02:42, trưng
0:02:42 - 0:02:48, số đặc trưng.
0:02:45 - 0:02:53, Còn cái chỉ số ở phía trên đó là cái chỉ
0:02:48 - 0:02:53, số của à thứ tự của mẫu.
0:02:56 - 0:03:03, Thế thì bây giờ chúng ta sẽ tìm cách đơn
0:02:59 - 0:03:06, giản hóa cái công thức này. Và
0:03:03 - 0:03:08, ờ khi tính toán với cái dữ liệu mà đã
0:03:06 - 0:03:10, được vecơ hóa thì cái thuật toán của
