0:00:01 - 0:00:16, [âm nhạc]
0:00:13 - 0:00:18, Tiếp theo thì chúng ta sẽ cùng à minh
0:00:16 - 0:00:20, họa cho cái tình huống đó là dữ liệu của
0:00:18 - 0:00:24, mình nó bị mất cân bằng. Thì ở đây chúng
0:00:20 - 0:00:27, ta giả sử cái tập dữ liệu red của mình
0:00:24 - 0:00:29, nó sẽ gấp nhiều lần so với lại tập dữ
0:00:27 - 0:00:33, liệu rin. Thì ở đây số mẫu thay vì chúng
0:00:29 - 0:00:36, ta đánh đồng là đều n sample. Thì ở đây
0:00:33 - 0:00:39, chúng ta sẽ cho à ví dụ như là 10 nhân
0:00:36 - 0:00:43, cho n sample và y tương tự như vậy cũng
0:00:39 - 0:00:45, sẽ là 10
0:00:43 - 0:00:47, nhân cho tổng số sample.
0:00:45 - 0:00:49, Rồi bây giờ chúng ta sẽ chạy thử cái
0:00:47 - 0:00:52, code này. Chúng ta thấy là cái đám m
0:00:49 - 0:00:55, điểm màu đỏ nó dày đặt đó. Rất là dày
0:00:52 - 0:00:55, đặt.
0:00:58 - 0:01:03, Rồi
0:01:00 - 0:01:06, và các cái điểm màu xanh lá thì nó sẽ
0:01:03 - 0:01:10, thưa hơn. Và chúng ta sẽ thấy là cái
0:01:06 - 0:01:13, đường của mình á nó càng lúc là nó sẽ
0:01:10 - 0:01:16, tiến về cái khu vực mà có thể tách ra
0:01:13 - 0:01:16, làm hai phần.
0:01:18 - 0:01:25, Rồi bây giờ chúng ta sẽ cùng à chờ đợi
0:01:21 - 0:01:28, một lúc nữa để xem coi là cái à đường
0:01:25 - 0:01:31, thẳng của mình nó sẽ dừng ở đâu. Nhưng
0:01:28 - 0:01:34, mà ở trên hình chúng ta cũng có thể thấy
0:01:31 - 0:01:37, sơ bộ được ha. Đó có thể thấy sơ bộ
0:01:34 - 0:01:37, được.
0:01:42 - 0:01:50, Đó là ờ cái tập điểm màu đỏ nó có một
0:01:46 - 0:01:54, cái khoảng cách khá là xa à khá là xa so
0:01:50 - 0:01:54, với lại các cái tập điểm
0:01:54 - 0:02:00, đó.
0:01:56 - 0:02:00, Thì ở đây nó sẽ khá là xa.
0:02:03 - 0:02:08, Còn các cái điểm màu xanh thì chúng ta
0:02:05 - 0:02:11, thấy là cái khoảng cách nó ngắn hơn.
0:02:08 - 0:02:13, Thì điều này cho thấy đó là cái lực đẩy
0:02:11 - 0:02:16, của
0:02:13 - 0:02:20, số lượng điểm mà gấp 10 lần nó sẽ khiến
0:02:16 - 0:02:21, cho cái mô hình của mình bị lùi về bị
