0:00:01 - 0:00:13, [âm nhạc]
0:00:15 - 0:00:20, Chúng ta tiếp tục nói về ứng dụng đơn
0:00:18 - 0:00:24, giản minh họa cho bài toán image
0:00:20 - 0:00:28, classification trong machine learning.
0:00:24 - 0:00:32, Thì các bạn đã biết ha, nếu như các bạn
0:00:28 - 0:00:35, sử dụng Google Collab mà xài CPU để chạy
0:00:32 - 0:00:38, cái ấy mà ăn nguồn này thì nó sẽ chạy
0:00:35 - 0:00:41, khá là chậm ha. Tại vì Google Collab
0:00:38 - 0:00:44, cung cấp cho các bạn chỉ có hai core CPU
0:00:41 - 0:00:45, ừ với một cấu hình không phải là mạnh
0:00:44 - 0:00:48, lắm.
0:00:45 - 0:00:50, Thì để cho cái thời gian training à
0:00:48 - 0:00:52, trong machine learning cái khâu lâu nhất
0:00:50 - 0:00:54, thì thường luôn sẽ là khâu training. Đó
0:00:52 - 0:00:56, để chúng ta muốn kéo cái thời gian
0:00:54 - 0:00:59, training với cái ví dụ đơn giản này từ 2
0:00:56 - 0:01:03, tiếng đồng hồ xuống càng nhanh càng tốt
0:00:59 - 0:01:06, thì các bạn có thể sử dụng
0:01:03 - 0:01:08, GPU mà Google Collab cung cấp sẵn.
0:01:06 - 0:01:11, Hoặc
0:01:08 - 0:01:16, ừ ở đây chúng ta sẽ thử minh họa nếu như
0:01:11 - 0:01:18, các bạn có một cái CPU hiện đại hơn ha.
0:01:16 - 0:01:21, Ví dụ như CPU trên máy tính của các bạn
0:01:18 - 0:01:24, đ cũng có thể xem là mạnh hơn đáng kể so
0:01:21 - 0:01:25, với CPU ảo mà Google Collab cung cấp
0:01:24 - 0:01:28, rồi.
0:01:25 - 0:01:31, Thì để cho các bạn có một sự liên hệ ở
0:01:28 - 0:01:35, đây, chúng ta sẽ thử chạy cái code này
0:01:31 - 0:01:38, trên một con CPU tương đối là tốt hơn.
0:01:35 - 0:01:41, Thì phần này các bạn có thể chọn
0:01:38 - 0:01:43, download cái collab Notebook về máy của
0:01:41 - 0:01:46, mình ha. Và nếu như thường để chạy
0:01:43 - 0:01:49, collab notebook trực tiếp trên thiết bị
0:01:46 - 0:01:52, cá nhân thì chúng ta sẽ chạy bằng file.
0:01:49 - 0:01:54, Chb.
0:01:52 - 0:01:57, Đó. Ở đây các bạn có thể download cái
0:01:54 - 0:02:01, file này về máy của mình để chạy.
0:01:57 - 0:02:03, À và tiếp theo để chạy được cái
0:02:01 - 0:02:07, code này các bạn sẽ phải cài đặt thư
0:02:03 - 0:02:09, viện Tenser Flow vào máy.
0:02:07 - 0:02:11, Rồi có nhiều cách để cài tensor flow ha.
0:02:09 - 0:02:14, À nếu các bạn muốn thử đó, nếu các bạn
0:02:11 - 0:02:15, muốn thử sức thì các bạn có thể chọn
0:02:14 - 0:02:19, cách phù hợp với máy của mình, có thể
0:02:15 - 0:02:21, tải về cài đặt. Còn ở đây thì th bài
