0:00:01 - 0:00:13, [âm nhạc]
0:00:13 - 0:00:18, Chúng ta sẽ cùng đến với một trong những
0:00:15 - 0:00:22, kỹ thuật à cực kỳ quan trọng khi chúng
0:00:18 - 0:00:25, ta sử dụng mô hình hồi quyến tính và
0:00:22 - 0:00:27, cũng như là các cái mô hình mà
0:00:25 - 0:00:29, dạng đơn giản như là tuyến tính đó chính
0:00:27 - 0:00:32, là kỹ thuật feature engineering.
0:00:29 - 0:00:35, Thế thì feature engineering là gì? Là
0:00:32 - 0:00:38, một cái quá trình mà để chúng ta tạo ra
0:00:35 - 0:00:40, hoặc là biến đổi các cái đặc trưng à đầu
0:00:38 - 0:00:42, vào cho mô hình máy học. Thế thì chúng
0:00:40 - 0:00:46, ta biết rằng cái mô hình dự đoán của
0:00:42 - 0:00:50, mình thì y thì nó sẽ là bằng các cái W
0:00:46 - 0:00:52, nhân với lại xy.
0:00:50 - 0:00:55, Sau đó sẽ cộng với lại cái bias.
0:00:52 - 0:00:57, Thế thì cái vai trò của Xi này cực kỳ
0:00:55 - 0:00:59, quan trọng đối với mô hình tuyến kính
0:00:57 - 0:01:02, tuyến tính. Bản chất của một cái mô hình
0:00:59 - 0:01:05, tuyến tính là nó không tìm ra đặc trưng
0:01:02 - 0:01:09, mới mà nó chỉ là đánh giá xem cái vai
0:01:05 - 0:01:13, trò của cái đặc trưng đó nó ảnh hưởng
0:01:09 - 0:01:15, như thế nào đến cái giá trị đầu ra y đó.
0:01:13 - 0:01:18, hay nói cái khác đó là nó đi tìm cái
0:01:15 - 0:01:22, trọng số thể hiện cái sự quan trọng
0:01:18 - 0:01:25, của cái đặc trưng xy à trong cái việc là
0:01:22 - 0:01:27, đưa ra cái giá trị dự đoán. Thế thì à
0:01:25 - 0:01:30, nếu như chúng ta đưa vào những cái đặc
0:01:27 - 0:01:33, trưng xy này bằng những cái đặc trưng mà
0:01:30 - 0:01:35, không quan trọng thì cái trọng số w i
0:01:33 - 0:01:38, của mình nó sẽ được gán là bằng 0. Nó sẽ
0:01:35 - 0:01:41, tiến về bằng 0. Nhưng mà như vậy thì rõ
0:01:38 - 0:01:44, ràng nó sẽ không giúp cho cái quá trình
0:01:41 - 0:01:46, dự đoán cái giá trị output. Muốn tìm
0:01:44 - 0:01:49, được những cái đặc trưng thật sự có ích
0:01:46 - 0:01:52, hữu ích cho cái việc là dự đoán cái giá
0:01:49 - 0:01:55, trị target là I này nè thì nó sẽ cần có
0:01:52 - 0:01:57, một cái bước gọi là feature engineering.
0:01:55 - 0:02:00, Và feature engineering ở những cái giai
0:01:57 - 0:02:03, đoạn đầu của các cái mô hình học máy đó
0:02:00 - 0:02:06, chính là chúng ta sẽ phải dựa trên cái
0:02:03 - 0:02:09, domain knowledge
0:02:06 - 0:02:13, tức là cái tri thức một cái tên gọi khác
0:02:09 - 0:02:15, đó chính là tri thức chuyên gia.
0:02:13 - 0:02:19, domain knowledge thì có thể thực hiện
0:02:15 - 0:02:21, cái việc feature engineering này bằng
0:02:19 - 0:02:25, cách đó là chúng ta sẽ biến đổi trên cái
0:02:21 - 0:02:28, feature góc à thì chúng ta có thể là lấy
0:02:25 - 0:02:30, log bình phương hoặc là căn bậc ha đó
0:02:28 - 0:02:32, lấy log lấy bình phương hoặc là lấy căn
0:02:30 - 0:02:35, bậc ha thì đối với cái bình phương hoặc
0:02:32 - 0:02:37, là lấy bậc lớn hơn thì ở trong cái slide
0:02:35 - 0:02:40, sau chúng ta sẽ có cái kỹ thuật nó gọi
0:02:37 - 0:02:40, là polynomioal
0:02:43 - 0:02:46, regression.
0:02:47 - 0:02:53, Rồi thì ngoài ra thì chúng ta có thể kết
0:02:51 - 0:02:55, hợp nhiều cái đặc trưng góc lại với
0:02:53 - 0:02:58, nhau. Kết hợp nhiều cái đặc trưng góc
0:02:55 - 0:03:00, lại với nhau để tạo ra một cái đặc trưng
0:02:58 - 0:03:02, mới, tạo ra cái feature mới. Ví dụ đặc
0:03:00 - 0:03:05, trưng gốc của chúng ta chỉ có thuộc tính
0:03:02 - 0:03:07, đó là à thông tin đó là giá nhà và chiều
0:03:05 - 0:03:11, sâu của căn nhà. Thì chúng ta biết rằng
0:03:07 - 0:03:14, là khi mua nhà thì cái việc định giá một
0:03:11 - 0:03:16, căn nhà nó có ngoài việc chiều dạ chiều
0:03:14 - 0:03:19, chiều rộng và chiều sâu thì nó còn phụ
0:03:16 - 0:03:21, thuộc vào cái yếu tố về diện tích. Đó
0:03:19 - 0:03:23, thì cái diện tích này nè nó chính là cái
0:03:21 - 0:03:26, domain knowledge
0:03:23 - 0:03:28, và nó khai thác bằng cách là đưa vào cái
0:03:26 - 0:03:30, thông tin chiều rộng và chiều sâu nhân
0:03:28 - 0:03:32, lại với nhau thực hiện cái phép nhân để
0:03:30 - 0:03:35, tính ra được.
0:03:32 - 0:03:38, Rồi một số ví dụ khác ví dụ như là trong
0:03:35 - 0:03:40, những cái bài toán mà có ký tính ứng
0:03:38 - 0:03:43, dụng trong thực tế đó thì domain
0:03:40 - 0:03:47, knowledge là một cái vai trò là cực kỳ
0:03:43 - 0:03:50, quan trọng quyết định phần lớn đến cái
0:03:47 - 0:03:52, độ chính xác của một cái mô hình hồi
0:03:50 - 0:03:55, quyến tính hoặc là mô hình logistic
0:03:52 - 0:03:57, regression về sau. Tại vì cái domain
0:03:55 - 0:03:59, knowledge này á nó tạo ra cho chúng ta
0:03:57 - 0:04:01, những cái đặc trưng thật sự hữu ích. Còn
0:03:59 - 0:04:05, nếu như chúng ta chỉ lấy những cái đặc
0:04:01 - 0:04:06, trưng X mà là những đặc trưng thô thì có
0:04:05 - 0:04:10, thể nó sẽ không phản ánh được những cái
0:04:06 - 0:04:13, quy luật trong tự nhiên. Đó. Do đó thì à
0:04:10 - 0:04:15, hai cái kỹ thuật một đó là chuẩn hóa,
0:04:13 - 0:04:17, lấy log, lấy bình phương, lấy căn bậc
0:04:15 - 0:04:19, hai hoặc là cái kỹ thuật mà kết hợp các
0:04:17 - 0:04:21, cái đặc trưng góc để tạo ra đặc trưng
0:04:19 - 0:04:24, mới thì nó có cái vai trò rất là quan
0:04:21 - 0:04:27, trọng trong cái việc là quyết định đến
0:04:24 - 0:04:29, cái độ chính xác của một cái hệ thống ờ
0:04:27 - 0:04:31, máy học.
0:04:29 - 0:04:33, Và trong thậm chí trong nhiều trường hợp
0:04:31 - 0:04:35, thì feature engineering còn quan trọng
0:04:33 - 0:04:37, hơn cả cái việc lựa chọn mô hình. Tức là
0:04:35 - 0:04:40, chúng ta chọn mô hình nào không quan
0:04:37 - 0:04:42, trọng mà feature có tốt hay không nó mới
0:04:40 - 0:04:44, là quan trọng. Thì ý của cái câu này là
0:04:42 - 0:04:46, như vậy. Thì một lần nữa chúng ta chỉ
0:04:44 - 0:04:48, khẳng định lại cái vai trò của cái
0:04:46 - 0:04:51, feature engineering này là rất là quan
0:04:48 - 0:04:53, trọng. Và để có một cái feature
0:04:51 - 0:04:55, engineering tốt thì nó phải có cái
0:04:53 - 0:04:57, domain knowledge tức là phải có cái tri
0:04:55 - 0:05:01, thức trong cái lĩnh vực.
0:04:57 - 0:05:03, Thì vì chúng ta đang làm chúng ta là à
0:05:01 - 0:05:05, trong lĩnh vực khoa học máy tính. Thế
0:05:03 - 0:05:07, thì chúng ta sẽ ngay ban đầu chúng ta sẽ
0:05:05 - 0:05:09, không có cái domain knowledge tức là cái
0:05:07 - 0:05:13, tri thức chuyên môn.
0:05:09 - 0:05:16, Như vậy thì để mà có thể hỗ trợ cho à
0:05:13 - 0:05:17, các cái đối tác của chúng ta trong cái
0:05:16 - 0:05:20, việc xây dựng mô hình một cách hiệu quả
0:05:17 - 0:05:22, thì chúng ta cũng phải tích cực trong
0:05:20 - 0:05:24, cái việc là tự học tập để mà bổ sung
0:05:22 - 0:05:27, thêm cái domain knowledge này nhằm tạo
0:05:24 - 0:05:29, ra các cái đặc trưng tốt hơn phục vụ cho
0:05:27 - 0:05:33, cái việc mà dự đoán của mô hình nó chính
0:05:29 - 0:05:36, xác hơn. Và các cái mô cái cái feature
0:05:33 - 0:05:38, engineering này á thì bản chất của nó là
