0:00:01 - 0:00:16, [âm nhạc]
0:00:13 - 0:00:19, Câu hỏi tiếp theo đó chính là tại sao
0:00:16 - 0:00:22, hàm mất mát của cái mô hình của mình
0:00:19 - 0:00:24, chúng ta lại à sử dụng cái hàm min
0:00:22 - 0:00:30, square raw mà chúng ta không sử dụng
0:00:24 - 0:00:32, những cái hàm bậc một hoặc là mae là min
0:00:30 - 0:00:36, absolute error. Cụ thể hơn đối với cái
0:00:32 - 0:00:38, hàm bậc một
0:00:36 - 0:00:43, thì chúng ta có thể thay cái công thức ở
0:00:38 - 0:00:46, trên bằng cái công thức đó là J của W B
0:00:43 - 0:00:49, là bằng 1/N
0:00:46 - 0:00:53, của tổng
0:00:49 - 0:00:56, của y trừ cho
0:00:53 - 0:00:59, WXY
0:00:56 - 0:00:59, cộng B.
0:01:00 - 0:01:07, Tức là đây là cái sai số giữa cái giá
0:01:02 - 0:01:09, trị dự đoán và cái giá trị à thực tế.
0:01:07 - 0:01:11, Thì đây chính là dự đoán nè, còn đây là
0:01:09 - 0:01:15, thực tế nè. Thì rõ ràng chúng ta dùng
0:01:11 - 0:01:17, công thức này nó sẽ đơn giản hơn. Thì để
0:01:15 - 0:01:20, giải thích cho việc này á thì chúng ta
0:01:17 - 0:01:25, có hai cách. Cách thứ nhất đó là chúng
0:01:20 - 0:01:25, ta cũng sử dụng lý thuyết về toán.
0:01:28 - 0:01:34, Rồi thì nếu như chúng ta nhìn cái hàm
0:01:31 - 0:01:38, này á ở một góc độ nào đó thì cái hàm
0:01:34 - 0:01:40, JWB này đó là một cái hàm bậc nhất theo
0:01:38 - 0:01:43, W và B.
0:01:40 - 0:01:45, Là một cái hàm bậc nhất theo W và B. Mà
0:01:43 - 0:01:47, trong lý thuyết về toán tối ưu chúng ta
0:01:45 - 0:01:49, biết rồi. Một cái hàm bậc một đó là một
0:01:47 - 0:01:52, hàm tuyến tính thì nó sẽ không có giá
0:01:49 - 0:01:55, trị nhỏ nhất. à nó sẽ không có giá trị
0:01:52 - 0:01:57, nhỏ nhất dẫn đến là chúng ta không thể
0:01:55 - 0:01:59, huấn luyện cái mô hình này để tìm ra cái
0:01:57 - 0:02:02, W và B sao cho cái giá trị này nhỏ nhất
