0:00:01 - 0:00:15, [âm nhạc]
0:00:13 - 0:00:18, Chúng ta sẽ cùng đến với câu hỏi thảo
0:00:15 - 0:00:21, luận tiếp theo đó là ý nghĩa hình học
0:00:18 - 0:00:23, của mô hình của mình là gì? Thì trong
0:00:21 - 0:00:26, cái công thức của chúng ta thì chúng ta
0:00:23 - 0:00:28, thấy nó sẽ là hàm sigmo của
0:00:26 - 0:00:31, wx
0:00:28 - 0:00:36, cộng cho b.
0:00:31 - 0:00:40, Thế thì ý nghĩa của W và B ở đây sẽ là
0:00:36 - 0:00:43, gì? Thì ở đây giả sử như chúng ta à xét
0:00:40 - 0:00:45, cái đặc trưng đầu vào là trong một cái à
0:00:43 - 0:00:49, một cái vecơ 2D. Có nghĩa là x của chúng
0:00:45 - 0:00:51, ta là thuộc R2.
0:00:49 - 0:00:55, Thì x lúc này sẽ bao gồm hai thành phần
0:00:51 - 0:00:59, đó là x1 và x2.
0:00:55 - 0:01:03, Thì x1 và x2 này sẽ là hai cái tọa độ là
0:00:59 - 0:01:05, cái à giá trị tọa độ của một cái điểm
0:01:03 - 0:01:08, của mình. Đó thì một cái điểm trong cái
0:01:05 - 0:01:12, không gian của mình nó sẽ là bao gồm x1
0:01:08 - 0:01:14, và x2.
0:01:12 - 0:01:17, Thì các cái điểm này sẽ được tách ra làm
0:01:14 - 0:01:20, hai phần. Và sau khi cái mô hình hồi quy
0:01:17 - 0:01:23, logistic mà đã được huấn luyện xong thì
0:01:20 - 0:01:26, chúng ta thấy nó đã tách ra à làm hai
0:01:23 - 0:01:28, phần bằng một cái đường thẳng. Vậy thì
0:01:26 - 0:01:33, cái ý nghĩa về mặt hình học của cái
0:01:28 - 0:01:37, đường thẳng này đó chính là ờ WB à WX
0:01:33 - 0:01:40, cộng B bằng 0.
0:01:37 - 0:01:41, Thì như chúng ta biết đó là phương trình
0:01:40 - 0:01:44, của một đường thẳng thì nó sẽ có dạng là
0:01:41 - 0:01:47, một cái đẳng thức như thế này. Và nếu
0:01:44 - 0:01:49, như chúng ta biểu diễn nó ra thành đầy
0:01:47 - 0:01:51, dạng đầy đủ, tức là x của chúng ta gồm
0:01:49 - 0:01:55, nhiều thành phần thì lúc này công thức
0:01:51 - 0:01:58, của mình nó sẽ là w1x1
0:01:55 - 0:02:00, cộng cho w2x2
0:01:58 - 0:02:03, cộng cho b.
0:02:00 - 0:02:05, Thì cái x của mình nó là một cái vecơ
0:02:03 - 0:02:08, hai chiều thì W của mình tương ứng nó
0:02:05 - 0:02:11, cũng sẽ có hai thành phần là hai chiều
0:02:08 - 0:02:13, W1 W2 và cái này sẽ là bằng 0. Thì đây
0:02:11 - 0:02:16, chính là cái dạng thức của cái phương
0:02:13 - 0:02:18, trình đường thẳng
0:02:16 - 0:02:20, dạng tổng quát mà chúng ta đã học ở
0:02:18 - 0:02:21, chương trình phổ thông.
0:02:20 - 0:02:24, Thế thì ý nghĩa của cái phương trình
0:02:21 - 0:02:27, đường thẳng này đó là nó tách ra làm hai
0:02:24 - 0:02:29, phần và những cái phần nào mà nằm ở phía
0:02:27 - 0:02:31, trên
