0:00:01 - 0:00:15, [âm nhạc]
0:00:13 - 0:00:17, Trong phần tiếp theo thì để có thể hiểu
0:00:15 - 0:00:20, rõ cái thực toán Ren
0:00:17 - 0:00:24, đã chạy như thế nào thì chúng ta sẽ cùng
0:00:20 - 0:00:26, mô phỏng với một cái dữ liệu như sau.
0:00:24 - 0:00:29, Chúng ta sẽ có hai trục, trục X và trục
0:00:26 - 0:00:32, Y. Thì trong đó X chính là cái đặc trưng
0:00:29 - 0:00:34, của mình. đặc trưng đồ vào của mình và y
0:00:32 - 0:00:38, chính là cái giá trị đầu ra chúng ta cần
0:00:34 - 0:00:41, dự đoán. Thì à giả sử như x và y của
0:00:38 - 0:00:41, mình
0:00:41 - 0:00:46, nó có mối quan hệ tuyến tính và các cái
0:00:45 - 0:00:48, điểm dữ liệu của mình nó xoay xung quanh
0:00:46 - 0:00:54, một cái đường thẳng mà chúng ta biết
0:00:48 - 0:00:54, trước đó là y ví dụ như là bằng 3x
0:00:54 - 0:00:58, - 5.
0:00:56 - 0:01:02, Đó thì đây là chúng ta đã biết trước
0:00:58 - 0:01:06, trong đầu mình. Và khi huấn luyện mô cái
0:01:02 - 0:01:09, mô hình xong thì W và B của mình liệu nó
0:01:06 - 0:01:11, có tiến về các cái giá trị mà chúng ta
0:01:09 - 0:01:15, đã biết trước hay không? Cụ thể đó là W
0:01:11 - 0:01:18, có tiến về số 3 và B có tiến về -5 hay
0:01:15 - 0:01:20, không thì chúng ta sẽ kết luận được là
0:01:18 - 0:01:23, cái mô hình của mình có đang thực thi
0:01:20 - 0:01:26, đúng hay không. Thế thì ở đây chúng ta
0:01:23 - 0:01:29, sẽ sử dụng một cái
0:01:26 - 0:01:31, code Python. Đầu tiên chúng ta sẽ import
0:01:29 - 0:01:33, nump
0:01:31 - 0:01:37, snp.
0:01:33 - 0:01:40, Rồi trước tiên thì chúng ta sẽ khởi tạo
0:01:37 - 0:01:44, à các điểm dữ liệu
0:01:40 - 0:01:44, thì x sẽ là bằng np.
0:01:44 - 0:01:48, Và giá trị chúng ta lấy từ 1 cho đến 3
0:01:47 - 0:01:52, với bước nhảy. Ví dụ như ở đây chúng ta
0:01:48 - 0:01:56, chọn là 0.2 2 đi
0:01:52 - 0:02:01, rồi và y thì là bằng 3x
0:01:56 - 0:02:03, - 5. Rồi sau đó chúng ta sẽ in ra x và
0:02:01 - 0:02:05, in ra y
0:02:03 - 0:02:07, để xem cái giá trị của mình nó nhìn như
0:02:05 - 0:02:10, thế nào. Thì để chạy chúng ta sẽ nhấn
0:02:07 - 0:02:12, Ctrl Shift P. Chúng ta sẽ chọn cái
0:02:10 - 0:02:14, Python Interpreter
0:02:12 - 0:02:17, và chọn ví dụ ở đây chúng ta chọn cái
0:02:14 - 0:02:21, Python của Anaconda ha. Rồi để chạy thì
0:02:17 - 0:02:23, chúng ta sẽ nhấn cái nút ở đây.
0:02:21 - 0:02:25, Rồi thì chúng ta thấy là x sẽ là bằng 1
0:02:23 - 0:02:28, 1.2 1.4. Tức là cái bước nhảy của mình
0:02:25 - 0:02:30, là 0.2
0:02:28 - 0:02:33, và lên đến 2.8. Tức là nó chưa chạm đến
0:02:30 - 0:02:37, được cái số 3 là nó sẽ dừng. Rồi y thì
0:02:33 - 0:02:42, sẽ là bằng ví dụ như x mà bằng 1 thì y
0:02:37 - 0:02:46, sẽ là bằng 3 x 1 - 5. Tức là à 3 x 1 - 5
0:02:42 - 0:02:50, là bằng -2. Rồi ví dụ như nếu x của mình
