0:00:01 - 0:00:15, [âm nhạc]
0:00:13 - 0:00:18, Như vậy thì chúng ta có thể thấy đó là ở
0:00:15 - 0:00:20, đây nó đang bị lỗi và nó chưa có thể
0:00:18 - 0:00:24, phân ra làm hai được. Thì bây giờ chúng
0:00:20 - 0:00:26, ta sẽ cùng debx xem cái lỗi này có
0:00:24 - 0:00:30, nguyên nhân là do đâu
0:00:26 - 0:00:32, thì chúng ta sẽ dừng cái thực toán.
0:00:30 - 0:00:35, Và
0:00:32 - 0:00:38, chúng ta sẽ xem đầu tiên đó là chúng ta
0:00:35 - 0:00:41, sẽ kiểm tra cái dữ liệu đầu vào trước là
0:00:38 - 0:00:46, x của mình có đúng như chúng ta kỳ vọng
0:00:41 - 0:00:46, hay không. Rồi sau đó là y.
0:00:47 - 0:00:53, Rồi các cái phần còn lại thì chúng ta sẽ
0:00:49 - 0:00:56, tạm thời là vòng lập là chúng ta sẽ khóa
0:00:53 - 0:01:00, lại và chúng ta sẽ chạy. Thì chúng ta
0:00:56 - 0:01:03, thấy là cái dữ liệu x của mình
0:01:00 - 0:01:09, à y đây là y nè. Thì nếu đúng nó phải ra
0:01:03 - 0:01:11, là một mãng gồm à các số là 00 sau đó sẽ
0:01:09 - 0:01:14, là nối 111. Nhưng mà hình như nó đang
0:01:11 - 0:01:16, hiểu sai là cho với mỗi cái thành phần
0:01:14 - 0:01:20, x1 nó sẽ là có một cái nhãn riêng. Thành
0:01:16 - 0:01:22, phần x2 là gán một cái nhãn riêng. Rồi à
0:01:20 - 0:01:24, như vậy thì cái này là sai cái y. Tương
0:01:22 - 0:01:28, tự như vậy x của mình thì lẽ ra là chúng
0:01:24 - 0:01:30, ta sẽ phải nối lại à thì chúng ta lại đi
0:01:28 - 0:01:33, trồng lên nó lên. Như vậy thì chúng ta
0:01:30 - 0:01:36, sẽ sửa lại cái code này là ở chỗ cái hàm
0:01:33 - 0:01:39, concast. Đầu tiên đối với y thì ở đây
0:01:36 - 0:01:42, chúng ta sẽ không lấy là chấm shap tại
0:01:39 - 0:01:45, vì nó sẽ lấy theo
0:01:42 - 0:01:47, x1 và x2 mà chúng ta sẽ lấy là lens của
0:01:45 - 0:01:50, hoặc ở đây chúng ta có cái biến nsf rồi
0:01:47 - 0:01:53, chúng ta sẽ truyền nsf luôn
0:01:50 - 0:01:56, đó. Rồi thì bây giờ chúng ta sẽ chạy lại
0:01:53 - 0:01:58, ha. Và y lúc này nó đã đúng như chúng ta
0:01:56 - 0:02:01, muốn. Đó là những 10 cái phần tử đầu
0:01:58 - 0:02:03, tiên 10 cái điểm đầu tiên nó sẽ là số 0.
0:02:01 - 0:02:08, 10 cái điểm tiếp theo thì nó sẽ là cái
0:02:03 - 0:02:10, nhãn là 1. Đó. Bây giờ chúng ta sẽ sửa
0:02:08 - 0:02:13, đến
0:02:10 - 0:02:15, X. Thế thì X thay vì chúng ta còn c như
0:02:13 - 0:02:18, thế này thì chúng ta sẽ phải thêm cái
0:02:15 - 0:02:20, asis là bằng 1. Tại vì nếu không mặc
0:02:18 - 0:02:22, định nó sẽ bằng 0. Tức là nó sẽ trồng
