0:00:01 - 0:00:13, [âm nhạc]
0:00:13 - 0:00:19, Trong phần tiếp theo thì chúng ta sẽ
0:00:15 - 0:00:21, cùng à đến với phần thực hành cho chủ đề
0:00:19 - 0:00:23, học không có giám sát. Và đối với lĩnh
0:00:21 - 0:00:26, vực học không có giám sát thì có hai ứng
0:00:23 - 0:00:30, dụng rất là nổi tiếng đó là giảm chiều
0:00:26 - 0:00:32, dữ liệu và phân cụm. Thế thì nếu như
0:00:30 - 0:00:35, trước đây à khi mà chưa có các cái thành
0:00:32 - 0:00:37, tựu của
0:00:35 - 0:00:41, GenI hoặc là cụ thể hơn đó là các cái
0:00:37 - 0:00:43, công cụ như là chat GPT thì chúng ta sẽ
0:00:41 - 0:00:45, tập trung vào cài đặt các cái thuật toán
0:00:43 - 0:00:47, giảm chiều dữ liệu và phân cụm. Tuy
0:00:45 - 0:00:51, nhiên thì gần đây với cái sự phát triển
0:00:47 - 0:00:52, của geni thì cái việc cài đặt các cái
0:00:51 - 0:00:55, thuật toán này thì đã trở nên dễ dàng
0:00:52 - 0:00:58, hơn và chúng ta sẽ sử dụng các cái công
0:00:55 - 0:00:59, cụ này để giải quyết một số cái bài toán
0:00:58 - 0:01:02, của mình.
0:00:59 - 0:01:04, Cụ thể hơn đó là
0:01:02 - 0:01:07, mục đích của cái bài thực hành này đó là
0:01:04 - 0:01:09, chúng ta sẽ ứng dụng học có không giám
0:01:07 - 0:01:12, sát trong cái việc đó là chúng ta sẽ
0:01:09 - 0:01:16, tiến hành giảm chiều dữ liệu và sau đó
0:01:12 - 0:01:18, chúng ta sẽ trực quan hóa.
0:01:16 - 0:01:20, Rồi sau đó là chúng ta sẽ tiến hành phân
0:01:18 - 0:01:21, cụm các cái dữ liệu không có gác nhãn.
0:01:20 - 0:01:24, Lưu ý là khi chúng ta nói đến học không
0:01:21 - 0:01:26, có giám sát thì chúng ta sẽ có một cái
0:01:24 - 0:01:29, dữ liệu đầu vào x nhưng mà chúng ta sẽ
0:01:26 - 0:01:31, không có y. Rồi nhãn Y là chúng ta không
0:01:29 - 0:01:33, có.
0:01:31 - 0:01:34, Và tập dữ liệu ở đây chúng ta sẽ tiến
0:01:33 - 0:01:37, hành thực nghiệm đó chính là tập dữ
0:01:34 - 0:01:40, liệu. Thì tại sao lại dùng cái tập dữ
0:01:37 - 0:01:44, liệu? Tập dữ liệu này là một cái tập dữ
0:01:40 - 0:01:47, liệu đủ đơn giản và khối lượng của nó là
0:01:44 - 0:01:49, đủ nhỏ. Đồng thời là cái tính chất dữ
0:01:47 - 0:01:52, liệu của nó đủ đơn giản và không quá
0:01:49 - 0:01:55, phức tạp để chúng ta có thể trực quan
0:01:52 - 0:01:58, hóa dữ liệu nó tốt hơn. Và đầu vào của
0:01:55 - 0:02:01, chúng ta sẽ là à các cái tập dữ liệu thô
0:01:58 - 0:02:04, giống như ở bên tay trái và bên phải
0:02:01 - 0:02:06, chính là cái kết quả mà chúng ta kỳ vọng
0:02:04 - 0:02:08, sẽ trả về. Lưu ý là đây chỉ là kết quả
0:02:06 - 0:02:10, mang tính chất tham khảo và không nhất
0:02:08 - 0:02:13, thiết là chúng ta sẽ ra đúng như thế này
0:02:10 - 0:02:18, nhưng mà chúng ta sẽ cố gắng đó là từ
0:02:13 - 0:02:21, cái dữ liệu à với mỗi một cái
0:02:18 - 0:02:25, ảnh một cái mẫu dữ liệu ha thì nó có
0:02:21 - 0:02:25, kích thước là 28 x 28.
0:02:25 - 0:02:31, Thế thì chúng ta sẽ tìm cách biến một
0:02:28 - 0:02:33, cái dữ liệu nhiều chiều này về cái dữ
0:02:31 - 0:02:37, liệu ở trong không gian có hai chiều
0:02:33 - 0:02:39, thôi. À và hai chiều à ở đây là
0:02:37 - 0:02:42, component
0:02:39 - 0:02:44, 1 và component 2. Và sau đó thì chúng ta
0:02:42 - 0:02:47, giả định là chúng ta sẽ không sử dụng
0:02:44 - 0:02:49, cái nhãn của cái dữ liệu y. À tức là
0:02:47 - 0:02:52, chúng ta giả sử như chúng ta không biết
0:02:49 - 0:02:56, à số này là số 0, số này là số 1, số này
0:02:52 - 0:02:58, số 2 đó thì chúng ta sẽ vẽ và trong cái
0:02:56 - 0:03:01, không gian hai chiều này và chúng ta xem
0:02:58 - 0:03:05, thử xem các cái con số mà có cùng một
0:03:01 - 0:03:07, cái cùng một cái ờ biểu diễn cho một cái
0:03:05 - 0:03:10, cái chữ số á nó có nằm gần nhau hay
0:03:07 - 0:03:13, không. Đó thì ví dụ như nếu mà chúng ta
0:03:10 - 0:03:15, làm đúng á thì có thể là các cái số bảy
0:03:13 - 0:03:17, nó sẽ co cụm lại trong một cái khu rồi
0:03:15 - 0:03:20, số 2 nó sẽ nằm co cụng trong một khu số
0:03:17 - 0:03:24, sáu nó sẽ nằm co cụng trong một cái khu.
0:03:20 - 0:03:25, Đó thì chúng ta thử thử xem xem là cái
0:03:24 - 0:03:27, những cái dữ liệu mà nằm trong cùng một
0:03:25 - 0:03:31, cái khu vực á nằm trong nằm trong nằm
0:03:27 - 0:03:34, trong một cái cụm á thì cái à có phải là
0:03:31 - 0:03:37, những cái số mà có cùng một cái chữ số
0:03:34 - 0:03:37, hay không.
0:03:37 - 0:03:44, Thì sau đây thì chúng ta sẽ tiến hành à
0:03:41 - 0:03:46, thử nghiệm trên cái nền tảng đó là
0:03:44 - 0:03:48, Google Collab.
0:03:46 - 0:03:51, Thì với cái nền tảng Google Collab á thì
0:03:48 - 0:03:53, nó sẽ cho phép là chúng ta có thể lập
0:03:51 - 0:03:55, trình và có kết hợp với lại cái GNI. Ở
0:03:53 - 0:03:58, đây chúng ta thấy cái giao diện JNI khá
