0:00:01 - 0:00:15, [âm nhạc]
0:00:13 - 0:00:19, Tiếp theo thì chúng ta sẽ cùng minh họa
0:00:15 - 0:00:21, cho cái ý tưởng của feature engineering.
0:00:19 - 0:00:24, Thì đầu tiên chúng ta cũng sẽ import thư
0:00:21 - 0:00:24, viện NP.
0:00:25 - 0:00:31, Và bước đầu tiên đó là chúng ta sẽ khởi
0:00:27 - 0:00:31, tạo các cái dữ liệu.
0:00:32 - 0:00:37, Thế thì giả sử như cái mô hình của mình
0:00:34 - 0:00:40, nó được tạo bởi các cái điểm ờ có cái
0:00:37 - 0:00:41, mối quan hệ là một cái dạng đường cong
0:00:40 - 0:00:44, và giả sử như ở đây chúng ta xét là
0:00:41 - 0:00:50, đường cong bậc hai thì x thì chúng ta
0:00:44 - 0:00:54, cũng sẽ lấy là np.range Range từ 0
0:00:50 - 0:01:00, à cục hiệu từ 1 cho đến 3 đi và bước
0:00:54 - 0:01:02, nhảy là 0.2 2 và y thì sẽ là bằng x cộng
0:01:00 - 0:01:05, cho
0:01:02 - 0:01:10, x bình phương cộng cho
0:01:05 - 0:01:13, x bình cộng cho x
0:01:10 - 0:01:17, - 3. Ví dụ vậy. Và hệ số ở đây ví dụ như
0:01:13 - 0:01:17, là à -4
0:01:18 - 0:01:25, cộng cho y à cộng cho 5 nhân x - 3. Đó.
0:01:23 - 0:01:27, Và đương nhiên chúng ta cũng phải thêm
0:01:25 - 0:01:30, vô một cái đại lượng nhiễu tại vì không
0:01:27 - 0:01:32, phải lúc nào nó cũng có thể là
0:01:30 - 0:01:34, à ra một cái
0:01:32 - 0:01:35, gọi là lấy mẫu chúng ta lấy chính xác
0:01:34 - 0:01:37, được mà có thể có cái size số trong cái
0:01:35 - 0:01:41, quá trình chúng ta lấy mẫu thì dẫn đến
0:01:37 - 0:01:44, là mô hình của mình nó có khả năng sẽ
0:01:41 - 0:01:46, dự đoán sai. Do đó thì cái việc thêm mua
0:01:44 - 0:01:47, một cái đại lượng nhiễu nó cũng giúp cho
0:01:46 - 0:01:50, chúng ta xác định xem mô hình của mình
0:01:47 - 0:01:51, có ổn định trước các cái nhiễu này hay
0:01:50 - 0:01:54, không.
0:01:51 - 0:01:58, Rồi thì ở đây chúng ta sẽ lấy theo nhiễu
0:01:54 - 0:02:01, phân phối chuẩn với tâm mi là bằng 0,
0:01:58 - 0:02:05, standard deviation là bằng 1 và số mẫu
0:02:01 - 0:02:10, của chúng ta thì là sẽ bằng lens của x.
0:02:05 - 0:02:13, Rồi bây giờ chúng ta sẽ à import m
0:02:10 - 0:02:13, plotlift
0:02:14 - 0:02:17, chp plot
0:02:20 - 0:02:27, splt
0:02:22 - 0:02:29, và chúng ta sẽ show chúng ta sẽ đưa lên
0:02:27 - 0:02:33, trên cái sơ đồ để chúng ta xem coi xi
0:02:29 - 0:02:33, của mình nhìn nó như thế nào.
0:02:35 - 0:02:38, Rồi plt.S
0:02:39 - 0:02:46, và chúng ta sẽ chạy thì à
0:02:43 - 0:02:50, đó thì với cái
0:02:46 - 0:02:52, x khoảng này thì nó chưa có đạt được cái
0:02:50 - 0:02:53, à cái hình vẽ gì chúng ta mong muốn. Đó
0:02:52 - 0:02:56, chúng ta phải lấy cái khoảng nó rộng
0:02:53 - 0:03:01, hơn. Thì ví dụ như ở đây chúng ta lấy là
0:02:56 - 0:03:03, từ trừ 3 cho đến 3 và bước nhãy là 0.5.
0:03:01 - 0:03:04, 5
0:03:03 - 0:03:06, chúng ta nâng cái khoảng giá trị của x
0:03:04 - 0:03:09, lên đó thì chúng ta thấy là nó đã có cái
0:03:06 - 0:03:12, đường cong như thế này và chúng ta có
0:03:09 - 0:03:15, thể tăng lên cái size số cho cái đường
0:03:12 - 0:03:18, cong này bằng cách đó là nhân với 2
0:03:15 - 0:03:22, và giá trị ở đầu ra bên đây cái bên tay
0:03:18 - 0:03:24, phải có thể tăng lên là bằng 4
0:03:22 - 0:03:25, đó thì nó sẽ ra cái dạng đường cong bậc
0:03:24 - 0:03:30, hai.
0:03:25 - 0:03:31, Rồi thì bây giờ chúng ta sẽ à nếu đúng
0:03:30 - 0:03:33, như bình thường thì chúng ta chỉ sử dụng
0:03:31 - 0:03:36, một cái đặc trưng X nhưng mà bây giờ
0:03:33 - 0:03:38, chúng ta sẽ đưa thêm
0:03:36 - 0:03:40, cái
0:03:38 - 0:03:44, x bình phương như là một cái đặc trưng
0:03:40 - 0:03:49, mới ha. Thì bây giờ mình sẽ có thêm một
0:03:44 - 0:03:51, cái nữa là xỉ thừa 2 thì sẽ là bằng x
0:03:49 - 0:03:53, mũ 2. Tuy nhiên ở đây chúng ta kiểm
0:03:51 - 0:03:56, chứng lại thì không biết là cái x m 2
0:03:53 - 0:04:00, này á là nó đang tính có đúng hay không
0:03:56 - 0:04:02, thì chúng ta sẽ in ra x và in ra x bình
0:04:00 - 0:04:05, phương để xem xem là cái giá trị đặc
0:04:02 - 0:04:06, trưng mà chúng ta bình phương ở đây có
0:04:05 - 0:04:08, đúng như những gì chúng ta kỳ vọng hay
0:04:06 - 0:04:11, không.
0:04:08 - 0:04:15, Thì đây chúng ta thấy là à -3 - 2,5 thì
0:04:11 - 0:04:19, tương ứng bình phương nó sẽ ra là 9 6,25
0:04:15 - 0:04:23, rồi -2 thì là thành 4 đó 3 thì sẽ là
0:04:19 - 0:04:27, thành 9. Như vậy là nó đã tính đúng.
0:04:23 - 0:04:33, Bây giờ chúng ta sẽ khởi tạo à khởi tạo
0:04:27 - 0:04:36, các cái à trọng số của mô hình.
0:04:33 - 0:04:40, Thì à ở đây sẽ có bao ba bao gồm là x1 à
0:04:36 - 0:04:42, w1 tương ứng cho x và w2 là tương ứng
0:04:40 - 0:04:45, cho x bình phương. Thì ví dụ như ở đây
0:04:42 - 0:04:50, chúng ta có là
0:04:45 - 0:04:52, ờ khởi tạo là bằng 10 đi. Rồi W2
0:04:50 - 0:05:00, thì sẽ là bằng
0:04:52 - 0:05:03, à -10. B là bias thì sẽ là bằng -5.
0:05:00 - 0:05:05, Rồi thì bây giờ chúng ta sẽ huấn chúng
0:05:03 - 0:05:07, ta sẽ cài đặt cho cái thực toán desend Y
0:05:05 - 0:05:10, tr thì bước đầu tiên đó là chúng ta sẽ
0:05:07 - 0:05:13, tính đạo hàm.
0:05:10 - 0:05:13, [âm nhạc]
0:05:14 - 0:05:21, Bước thứ hai đó là chúng ta sẽ cập nhật
0:05:18 - 0:05:23, các cái tham số của mô hình.
0:05:21 - 0:05:25, Và bước số ba đó là chúng ta sẽ trực
0:05:23 - 0:05:28, quan hóa.
0:05:25 - 0:05:31, Và cuối cùng đó là chúng ta sẽ kiểm tra
0:05:28 - 0:05:34, cái điều kiện dừng.
0:05:31 - 0:05:37, Rồi thì à để tính đạo hàm thì cái công
0:05:34 - 0:05:41, thức cũng tương tự như trong slide trước
0:05:37 - 0:05:43, về cái mô hình hồi quy đa biến.
0:05:41 - 0:05:45, Thì ở đây chúng ta sẽ có cái công thức
0:05:43 - 0:05:47, đó là
0:05:45 - 0:05:50, ờ
0:05:47 - 0:05:53, derivative của
0:05:50 - 0:05:59, J. đúng không? À ở đây derivative theo
0:05:53 - 0:06:02, W1 thì nó sẽ là bằng NP. Min
0:05:59 - 0:06:02, của
0:06:02 - 0:06:08, nó sẽ là giá trị dự đoán trừ cho giá trị
0:06:05 - 0:06:12, thực tế. Thì giá trị dự đoán của chúng
0:06:08 - 0:06:17, ta chính là x W1
0:06:12 - 0:06:22, nhân với X cộng cho W2
0:06:17 - 0:06:24, nhân với lại à X bình phương cộng cho
0:06:22 - 0:06:27, và tất cả thì chúng ta sẽ trừ cho trừ
0:06:24 - 0:06:29, cho Y.
0:06:27 - 0:06:32, Rồi
0:06:29 - 0:06:34, và ở đây là cái thành phần ờ vì chúng ta
0:06:32 - 0:06:40, đang xét trên cái thành phần là W nên nó
0:06:34 - 0:06:43, sẽ có nhân với lại cái đạo hàm của ờ của
0:06:40 - 0:06:46, cái W1 theo cái vế này thì đạo hàm của
0:06:43 - 0:06:49, W1 theo cái vế này thì nó sẽ là bằng X.
0:06:46 - 0:06:52, Do đó ở đây chúng ta sẽ nhân thêm với X.
0:06:49 - 0:06:56, Tương tự như vậy thì chúng ta sẽ có cái
0:06:52 - 0:07:00, đạo hàm bậc hai à xin lỗi đạo hàm cho w2
0:06:56 - 0:07:03, thì nó sẽ là bằng w1x + w2x2
0:07:00 - 0:07:06, + b - y và nhân cho cái đạo hàm của cái
0:07:03 - 0:07:10, vế bên trong này theo w2 thì đạo hàm của
0:07:06 - 0:07:12, cái này theo w2 nó sẽ là bằng x2 tức là
0:07:10 - 0:07:17, x bình.
0:07:12 - 0:07:19, À tương tự như vậy cho bias B thì chúng
0:07:17 - 0:07:21, ta sẽ nhân cho cái đạo hàm của cái vế
0:07:19 - 0:07:23, bên trong này theo B. Thì chúng rõ ràng
0:07:21 - 0:07:26, là các cái thành phần này đối với B nó
0:07:23 - 0:07:30, là hằng số do đó đạo hàm bằng 0. Còn đạo
0:07:26 - 0:07:31, hàm của B à theo B thì nó sẽ là bằng 1.
0:07:30 - 0:07:35, Do đó thì chúng ta sẽ không có phải nhân
0:07:31 - 0:07:37, ở đây. Bước tiếp theo cập nhật tham số
0:07:35 - 0:07:40, thì rất là đơn giản đó là W1 sẽ là bằng
0:07:37 - 0:07:45, W1 trừ cho alpha
0:07:40 - 0:07:49, nhân cho đạo hàm của W1.
0:07:45 - 0:07:54, Tương tự như vậy cho W2
0:07:49 - 0:07:54, W2 và tương tự cho B.
0:07:56 - 0:08:01, đạo hàm theo B. Sau khi chúng ta cập
0:07:59 - 0:08:06, nhật xong thì chúng ta sẽ kiểm tra điểm
0:08:01 - 0:08:06, dừng đó là if ABS của derivative
0:08:07 - 0:08:15, của W1 mà bé hơn một cái ngưỡng epsilon
0:08:10 - 0:08:18, và trị tuyệt đối của derivative của W2
0:08:15 - 0:08:24, bé hơn
0:08:18 - 0:08:27, và trị tuyệt đối của derivative theo B.
0:08:24 - 0:08:30, bé hơn silon thì chúng ta sẽ
0:08:27 - 0:08:34, và ở đây chúng ta sẽ có thêm hai cái
0:08:30 - 0:08:36, siêu tham số đó là alpha là bằng 0.0 à
0:08:34 - 0:08:38, 0.01.
0:08:36 - 0:08:40, Nếu mà nó chậm quá thì chúng ta có thể
0:08:38 - 0:08:43, tăng cái alpha này lên và ngưỡng dừng
0:08:40 - 0:08:45, thì là bằng 0.001.
