0:00:01 - 0:00:16, [âm nhạc]
0:00:13 - 0:00:21, Bây giờ chúng ta sẽ thử chạy
0:00:16 - 0:00:23, trên một cái GPU à gắn với máy tính thật
0:00:21 - 0:00:24, của các bạn, không phải thông qua máy ảo
0:00:23 - 0:00:27, Google Collab. Thì liệu các bạn có thể
0:00:24 - 0:00:30, chạy được những cái chương trình machine
0:00:27 - 0:00:34, learning này hay không? Thì trên nếu hồi
0:00:30 - 0:00:36, nãy các bạn tình để ý thì sẽ thấy trên
0:00:34 - 0:00:39, máy tính
0:00:36 - 0:00:46, của thầy hiện tại cũng có một cái GPU
0:00:39 - 0:00:48, ha. Đó là con AMD Radian 6700XT.
0:00:46 - 0:00:53, Đó, GPU này thì nó cũng đời cũ rồi, thậm
0:00:48 - 0:00:53, chí nó còn cũ hơn cả con CPU nữa.
0:00:54 - 0:01:01, Nếu chúng ta tra nhanh thử thông tin cái
0:00:57 - 0:01:01, GPU này thì à
0:01:02 - 0:01:08, hiện giờ chắc là chỉ còn những cái tra,
0:01:06 - 0:01:14, những cái shop nào mà họ bán đồ cũ thì
0:01:08 - 0:01:15, may ra họ còn mẫu GPU này thôi ha. Đó.
0:01:14 - 0:01:18, Đây a
0:01:15 - 0:01:23, à shop này cũng còn khá nhiều. Còn một
0:01:18 - 0:01:27, số shop khác thì đây mẫu 6700X này hiện
0:01:23 - 0:01:29, bán với giá khoảng 7 triệu. Chắc là hàng
0:01:27 - 0:01:31, tồn kho của họ. Còn nếu hàng nếu các bạn
0:01:29 - 0:01:36, mua đồ secondh hand thì chắc nó sẽ rẻ
0:01:31 - 0:01:39, hơn nữa ha. Thì GPU này
0:01:36 - 0:01:41, nó có cấu hình cũng a không phải là cao
0:01:39 - 0:01:43, lắm ha.
0:01:41 - 0:01:47, Nếu các bạn đây có thể thấy hình dáng
0:01:43 - 0:01:52, của GPU về thông số thì nó chỉ có 12 GB
0:01:47 - 0:01:54, V RAM thôi, ít hơn cả GPU Tesla T4 mà
0:01:52 - 0:01:58, Google Collab sẽ cung cấp miễn phí của
0:01:54 - 0:02:01, các bạn. Nhưng mẫu GPU này là mẫu GPU
0:01:58 - 0:02:05, cho người dùng cá nhân và thường. Nó
0:02:01 - 0:02:07, hướng đến việc ừ tăng tốc các cái tha xử
0:02:05 - 0:02:09, lý liên quan đến đồ họa nhiều hơn là các
0:02:07 - 0:02:11, cái thao tác xử lý tính toán trên máy
0:02:09 - 0:02:13, chủ.
0:02:11 - 0:02:16, Nên nó sẽ yêu cầu nguồn điện cao hơn và
0:02:13 - 0:02:19, tốc độ chạy của nó thì nhiều khi cũng có
0:02:16 - 0:02:22, thể là nhanh hơn Tesla T4 nhưng mà VRAM
0:02:19 - 0:02:24, của nó sẽ hạn chế hơn. Và cái mẫu GPU
0:02:22 - 0:02:27, này thì các bạn không thể gắn nhiều quá
0:02:24 - 0:02:29, nhiều GPU vào cùng một máy như mẫu GPU
0:02:27 - 0:02:33, dành riêng cho server được ha. Trên
0:02:29 - 0:02:35, server một máy chủ có thể gắn đến hàng
0:02:33 - 0:02:37, vài chục ha. Máy cái nhiều nhất có thể
0:02:35 - 0:02:39, gắn đến khoảng hai mươi mấy cái GPU. Còn
0:02:37 - 0:02:42, nếu trong máy tính cá nhân của các bạn
0:02:39 - 0:02:44, thì thường mỗi máy tính chỉ gắn được một
0:02:42 - 0:02:50, GPU này mà thôi. Đó thì ở đây chúng ta
0:02:44 - 0:02:50, có một GPU duy nhất. GPU này
0:02:51 - 0:02:55, hiện tại cũng đang được sử dụng khá
0:02:52 - 0:02:59, nhiều ha. Đó, đây là GPU duy nhất có
0:02:55 - 0:03:01, trong máy tính nên nó sẽ phải gánh cả
0:02:59 - 0:03:04, các cái ứng dụng đồ họa mà máy đang
0:03:01 - 0:03:05, chạy. Đặc biệt là ứng dụng quay, video,
0:03:04 - 0:03:07, bài giảng chẳng hạn thì các bạn thấy
0:03:05 - 0:03:10, VRAM chưa gì là nó đã dùng gần phân nửa
0:03:07 - 0:03:14, rồi đó. Và
0:03:10 - 0:03:16, utilization đang cỡ khoảng 40%.
0:03:14 - 0:03:19, Đây là chỉ là những phần mềm chạy trên
0:03:16 - 0:03:21, máy và để quay video bài giảng này mà
0:03:19 - 0:03:23, thôi ha. Chưa đụng gì đến machine
0:03:21 - 0:03:25, learning. Thì nếu chúng ta cần, chúng ta
0:03:23 - 0:03:28, vẫn có thể chạy
0:03:25 - 0:03:31, cái code machine learning của chúng ta
0:03:28 - 0:03:34, trên con GPU này. Mặc dù nó sẽ không
0:03:31 - 0:03:36, phải là tối ưu như là chạy trên một
0:03:34 - 0:03:37, server đó. Nhưng nếu các bạn biết cách
0:03:36 - 0:03:41, cài đặt các bạn vẫn có thể chạy được.
0:03:37 - 0:03:44, Thì đầu tiên mỗi GPU tùy hãng sản xuất
0:03:41 - 0:03:47, ha, tùy công nghệ mà để chạy các bạn sẽ
0:03:44 - 0:03:48, phải có cách cài đặt tens flow khác
0:03:47 - 0:03:50, nhau.
0:03:48 - 0:03:52, Thông thường cách cài đặt dễ nhất nếu
