0:00:01 - 0:00:16, [âm nhạc]
0:00:13 - 0:00:20, Tiếp theo thì để minh họa cho thuật toán
0:00:16 - 0:00:23, logistication với phương pháp huấn luyện
0:00:20 - 0:00:26, đó là raden des thì chúng ta cũng sẽ mô
0:00:23 - 0:00:28, phỏng cái dữ liệu của mình ở trong cái
0:00:26 - 0:00:30, không gian hai chiều. Thì trong trường
0:00:28 - 0:00:34, hợp này thì hai cái chiều đặc trưng của
0:00:30 - 0:00:37, mình nó sẽ được ký hiệu là x1 và x2. Và
0:00:34 - 0:00:41, một cái điểm của mình thì sẽ là một cái
0:00:37 - 0:00:44, tọa độ cặp tọa độ là x1 và x2. Đồng thời
0:00:41 - 0:00:46, nó sẽ có cái nhãn y. Thì ví dụ như những
0:00:44 - 0:00:49, cái điểm nào mà nằm ở phía trên thì cái
0:00:46 - 0:00:50, nhãn của mình sẽ là bằng 0. Và những cái
0:00:49 - 0:00:54, điểm nào ở phía dưới thì nhãn của mình
0:00:50 - 0:00:56, là bằng 1. Ví dụ vậy.
0:00:54 - 0:00:58, Rồi đây là y = 0.
0:00:56 - 0:01:02, Và chúng ta sẽ có rất nhiều những cái
0:00:58 - 0:01:02, tập điểm.
0:01:03 - 0:01:08, Và khi chúng ta huấn luyện thì chúng ta
0:01:05 - 0:01:10, sẽ tìm ra được một cái đường để phân
0:01:08 - 0:01:14, tách hai cái tập điểm này ra làm hai
0:01:10 - 0:01:16, phần giống như ở trên à cái hình vẽ. Thế
0:01:14 - 0:01:19, thì ở đây chúng ta sẽ dùng cái thư viện
0:01:16 - 0:01:19, lên
0:01:20 - 0:01:27, để khởi bước đầu tiên đó là khởi tạo à
0:01:23 - 0:01:31, các cái dữ liệu. Thì ở đây X của mình nó
0:01:27 - 0:01:34, sẽ là các cái giá trị là ờ các cái cặp
0:01:31 - 0:01:36, giá trị thì các cái cặp giá trị này thì
0:01:34 - 0:01:38, nó sẽ xoay xung quanh các cái điểm. Thì
0:01:36 - 0:01:41, lấy ví dụ như
0:01:38 - 0:01:45, ở đây chúng ta sẽ có một cái điểm tâm
0:01:41 - 0:01:45, ha. cái tâm
0:01:46 - 0:01:51, thì cái tâm này ví dụ như là 1 và 3.
0:01:50 - 0:01:54, Rồi, tương tự như vậy, các cái điểm dấu
0:01:51 - 0:01:58, cộng ở đây thì nó sẽ có một cái điểm
0:01:54 - 0:01:58, tâm. Ví dụ như ở đây là
0:02:00 - 0:02:07, 1 thì chúng ta sẽ có hai cái tập điểm
0:02:03 - 0:02:10, thì NP chấm
0:02:07 - 0:02:10, array
0:02:11 - 0:02:18, rồi thì chúng ta sẽ có cái tập điểm đó
0:02:14 - 0:02:18, là 1 và 3
0:02:24 - 0:02:31, rồi. Rồi sau đó thì chúng ta sẽ cộng cho
0:02:27 - 0:02:31, một cái đại lượng random noise
0:02:37 - 0:02:44, với cái phân bố đó là 01
0:02:42 - 0:02:50, min là bằng 0 và standard deviation là
0:02:44 - 0:02:52, bằng 1. Rồi và ở đây thì nó sẽ có hai
0:02:50 - 0:02:56, chiều. Do đó thì ở đây chúng ta sẽ sửa
0:02:52 - 0:02:56, lại một chút xíu.
0:02:56 - 0:03:00, Và cái kích thước của mình thì nó sẽ là
0:02:58 - 0:03:02, bằng
0:03:00 - 0:03:05, đầu tiên đó là số chiều của mình sẽ là
