0:00:01 - 0:00:13, [âm nhạc]
0:00:13 - 0:00:18, Trong phần tiếp theo thì chúng ta sẽ
0:00:15 - 0:00:20, cùng à tìm hiểu về à cây quyết định
0:00:18 - 0:00:22, chúng ta sẽ cùng thực hành. Thì cây
0:00:20 - 0:00:24, quyết định đó là một trong những cái mô
0:00:22 - 0:00:26, hình à có tính chất rất là thú vị. Đó là
0:00:24 - 0:00:29, cái tính dễ giải thích.
0:00:26 - 0:00:31, Tại vì sao? Tại vì
0:00:29 - 0:00:34, cái cây quyết định nó sẽ mô phỏng theo
0:00:31 - 0:00:36, cái cách mà con người chúng ta suy nghĩ.
0:00:34 - 0:00:38, Tức là thông thường khi chúng ta đưa ra
0:00:36 - 0:00:40, một cái quyết định gì đó thì chúng ta sẽ
0:00:38 - 0:00:42, chia ra làm nhiều các cái trường hợp,
0:00:40 - 0:00:44, nhiều các cái tình huống khác nhau. Với
0:00:42 - 0:00:45, trường hợp này thì chúng ta sẽ làm gì?
0:00:44 - 0:00:48, Với trường hợp kia thì chúng ta sẽ làm
0:00:45 - 0:00:50, cái gì? Thì nó gần gũi với cái cách con
0:00:48 - 0:00:52, người chúng ta à suy nghĩ. Do đó thì cây
0:00:50 - 0:00:55, quyết định là một trong những cái mô
0:00:52 - 0:00:57, hình à thường được sử dụng trong cái
0:00:55 - 0:01:00, tình huống đó là nó đòi hỏi cái tính dễ
0:00:57 - 0:01:03, giải thích. Tức là nó sẽ không quá quan
0:01:00 - 0:01:05, trọng cái việc là độ chính xác cao mà nó
0:01:03 - 0:01:07, sẽ quan trọng cái tính dễ giải thích cho
0:01:05 - 0:01:09, một cái người mà không có chuyên môn
0:01:07 - 0:01:11, nhiều về các cái mô hình máy học cũng
0:01:09 - 0:01:14, như là các cái mô hình toán có thể hiểu
0:01:11 - 0:01:18, được. Thì để thực hành với cái cây quyết
0:01:14 - 0:01:22, định thì chúng ta sẽ à sử dụng thư viện
0:01:18 - 0:01:24, là cit lên và chúng ta sẽ xây dựng cái
0:01:22 - 0:01:26, cây quyết định. Sau đó thì chúng ta sẽ
0:01:24 - 0:01:28, trực quan hóa cái cây quyết định này
0:01:26 - 0:01:31, bằng hai cách. Một đó là chúng ta sẽ vẽ
0:01:28 - 0:01:34, cái cấu trúc cây
0:01:31 - 0:01:36, và hai đó là chúng ta sẽ vẽ cái đường
0:01:34 - 0:01:39, bao tức là cái đường phân loại đường
0:01:36 - 0:01:39, phân loại
0:01:41 - 0:01:47, đường phân lớp
0:01:43 - 0:01:47, hay còn gọi là cái đường boundary
0:01:47 - 0:01:52, thì chúng ta sẽ trực quan hóa bằng hai
0:01:49 - 0:01:54, cách này. Và chúng ta sẽ sử dụng một cái
0:01:52 - 0:01:58, phương pháp là pruning cắt tỉa cây quyết
0:01:54 - 0:02:00, định để cho cái cây của mình nó có cái
0:01:58 - 0:02:02, độ mược nhưng mà đồng thời nó không quá
0:02:00 - 0:02:05, phức tạp để giải quyết cái vấn đề về
0:02:02 - 0:02:05, overfitting.
0:02:07 - 0:02:11, Rồi và để thực hiện thực hành được cái
0:02:09 - 0:02:14, bài tập này thì chúng ta sẽ sử dụng một
0:02:11 - 0:02:16, cái tập dữ liệu Moon. Thì đây là một cái
0:02:14 - 0:02:19, dữ liệu mô phỏng. Trong đó chúng ta thấy
0:02:16 - 0:02:22, là nó bao gồm hai cái phân lớp là đỏ và
0:02:19 - 0:02:24, xám. thì nó được sắp theo cái hình là
0:02:22 - 0:02:27, hai cái bán nguyệt nó lồng với nhau. Thế
0:02:24 - 0:02:29, thì chúng ta thấy với cái à tập dữ liệu
0:02:27 - 0:02:31, này chúng ta không có thể phân tách nó
0:02:29 - 0:02:33, ra làm hai phần bằng một cái đường thẳng
0:02:31 - 0:02:35, được đúng không? Ví dụ như chúng ta chia
0:02:33 - 0:02:37, như thế này hoặc chia như thế này thì
0:02:35 - 0:02:40, không thể nào mà tách nó ra làm hai
0:02:37 - 0:02:44, được. Thì đây là một cái à dữ liệu mà nó
0:02:40 - 0:02:47, có cái tính chất đó là phi tuyến.
0:02:44 - 0:02:51, Thế thì chúng ta sẽ cùng tìm hiểu xem là
0:02:47 - 0:02:52, làm sao cái cây quyết định có thể à giải
0:02:51 - 0:02:55, quyết được các cái bài toán phi tuyến
0:02:52 - 0:02:56, tính nó đã giải quyết như thế nào. Và
0:02:55 - 0:02:59, cái cấu trúc cây mà khi chúng ta trực
0:02:56 - 0:03:02, quan hóa thì nó sẽ có cái dạng hình thù
0:02:59 - 0:03:02, như thế này.
0:03:04 - 0:03:10, Rồi thì chúng ta sẽ sử dụng Google
0:03:07 - 0:03:12, Colab. Thì đối với Google Lab thì chúng
0:03:10 - 0:03:15, ta sẽ khai thác cái thư viện là si kone
0:03:12 - 0:03:19, để xây dựng cây quyết định. À ở đây
0:03:15 - 0:03:22, chúng ta sẽ dùng là escalan.try
0:03:19 - 0:03:25, và import cái decision tree classifier.
0:03:22 - 0:03:27, Ngoài ra thì chúng ta sẽ sử dụng cái
0:03:25 - 0:03:31, block tree để vẽ cái cấu trúc cây của
0:03:27 - 0:03:34, mình. Đối với cái tập dữ liệu thì chúng
0:03:31 - 0:03:37, ta dùng side ken dataset và dùng cái
0:03:34 - 0:03:40, phương thức đó là MON. Thì đầu tiên
0:03:37 - 0:03:45, chúng ta sẽ tạo cái dataset với một cái
0:03:40 - 0:03:47, noise à là 0.1. Thì cái noise này á là
