0:00:01 - 0:00:13, [âm nhạc]
0:00:13 - 0:00:18, Sau đây thì chúng ta sẽ cùng thảo luận
0:00:16 - 0:00:23, về một số vấn đề khi chúng ta huấn luyện
0:00:18 - 0:00:25, với môi nồi Q đa biến. Thì vấn đề đầu
0:00:23 - 0:00:28, tiên đó chính là vấn đề về feature
0:00:25 - 0:00:30, scaling. Tức là là chúng ta chuẩn hóa
0:00:28 - 0:00:32, các cái đặc trưng của mình.
0:00:30 - 0:00:36, Nếu như trong mô hình hồi quy đơn biến
0:00:32 - 0:00:39, thì chúng ta chỉ có duy nhất một biến x
0:00:36 - 0:00:43, à và trọng số tương ứng của nó.
0:00:39 - 0:00:46, Để thể hiện cái mối quan trọng của x tác
0:00:43 - 0:00:49, động lên cái giá trị dự đoán thì đối với
0:00:46 - 0:00:53, cái mô hình hồi quy đa biến thì nó không
0:00:49 - 0:00:55, phải chỉ có 1x mà nó sẽ có nhiều hơn một
0:00:53 - 0:01:01, giá trị, một cái đặc trưng. Thì lúc này
0:00:55 - 0:01:05, chúng ta sẽ có là x1, x2 vân vân cho đến
0:01:01 - 0:01:11, xm à xn. Và tương ứng thì chúng ta sẽ có
0:01:05 - 0:01:14, cái trọng số của nó đó là w1, w2 và wn.
0:01:11 - 0:01:18, Rồi sau đó chúng ta sẽ cộng lại.
0:01:14 - 0:01:21, À thì cái w nó sẽ thể hiện cái tầm quan
0:01:18 - 0:01:24, trọng của à đặc trưng thứ y.
0:01:21 - 0:01:27, Thì ở đây chúng ta sẽ xét một cái ví dụ
0:01:24 - 0:01:30, là đặc trưng của mình là gồm các cái giá
0:01:27 - 0:01:32, trị nhưng mà nó có giải giá trị rất là
0:01:30 - 0:01:35, khác nhau. Có giải giá trị rất là khác
0:01:32 - 0:01:37, nhau. Ví dụ như trong bài toán dự đoán
0:01:35 - 0:01:40, giá nhà thì chúng ta sẽ có cái thông tin
0:01:37 - 0:01:44, diện tích căn nhà thì có thể là từ 300
0:01:40 - 0:01:46, cho đến 2000 m². Tức là cái con số này
0:01:44 - 0:01:49, rất là lớn. Trong khi đó chúng ta lại có
0:01:46 - 0:01:51, một cái đặc trưng khác. Ví dụ như là số
0:01:49 - 0:01:53, phòng ngủ thì nó chỉ có là từ 0 cho đến
0:01:51 - 0:01:57, 5 phòng ngủ. Thì đây là một cái con số
0:01:53 - 0:01:59, khá là bé. Thế thì điều gì xảy ra khi
0:01:57 - 0:02:04, trong cái mô hình của mình nó có hai cái
0:01:59 - 0:02:07, đặc trưng x1 và x2 và có cái giải giá
0:02:04 - 0:02:10, trị chênh biệt chên lệch rất là lớn như
0:02:07 - 0:02:12, thế này. Thì cái hệ quả đầu tiên đó là
0:02:10 - 0:02:16, cái trọng số lớn. À cái đặc trưng lớn
0:02:12 - 0:02:18, thì thường là có cái trọng số nhỏ và cái
0:02:16 - 0:02:21, đặc trưng nhỏ thì thường là có trọng số
0:02:18 - 0:02:24, lớn. Điều này có nghĩa là gì? Khi chúng
0:02:21 - 0:02:28, ta ở đây chúng ta xét cái ví dụ là x1 là
0:02:24 - 0:02:30, một cái đặc trưng mà có cái giá trị lớn
0:02:28 - 0:02:33, ha. Nó gọi ký hiệu à viết tắc là đặc
0:02:30 - 0:02:37, trưng lớn.
0:02:33 - 0:02:39, Còn x2 sẽ là cái đặc trưng nhỏ tức là
0:02:37 - 0:02:45, cái giá trị nhỏ.
0:02:39 - 0:02:50, thì cái trọng số cho cái W à X W1 cho
0:02:45 - 0:02:54, cái X1 và W2 cho X2 thì thông thường là
0:02:50 - 0:02:57, cái trọng số cho cái W1 sẽ nhỏ hơn cái
0:02:54 - 0:03:01, trọng số cho W2 cho X2.
0:02:57 - 0:03:07, Đó, tức là nếu mà x1 lớn x2 nhỏ thì
0:03:01 - 0:03:07, thường là w1 sẽ nhỏ hơn
0:03:08 - 0:03:14, nó sẽ nhỏ hơn W2 tức là nó sẽ nghịch đảo
0:03:11 - 0:03:16, lại. Thế thì tại sao nó lại có vấn đề
0:03:14 - 0:03:18, này?
0:03:16 - 0:03:24, Tại vì khi chúng ta đưa ra cái mô hình
0:03:18 - 0:03:26, dự đoán thì ờ nếu giả sử như cả x1 và x2
0:03:24 - 0:03:30, cùng có cái vai trò trong cái việc là dự
0:03:26 - 0:03:34, đoán cái giá trị y thì cái giá trị lớn
