0:00:01 - 0:00:16, [âm nhạc]
0:00:13 - 0:00:18, Chúng ta sẽ cùng đến với cái mô hình
0:00:16 - 0:00:20, toán học của nó dướ dạng là vectơ. Thế
0:00:18 - 0:00:24, thì ở trong cái công thức đằng trước á
0:00:20 - 0:00:29, thì cái hàm nếu mà viết theo cái kiểu WB
0:00:24 - 0:00:31, như vậy á thì nó sẽ khá là dài dòng à là
0:00:29 - 0:00:34, bằng W1x1
0:00:31 - 0:00:36, cộng cho W2X2
0:00:34 - 0:00:41, cộng chấm chấm chấm đó thì nó sẽ dài
0:00:36 - 0:00:46, dòng. Bây giờ chúng ta quy tụ W là thành
0:00:41 - 0:00:48, W1, W2 cho đến WN và X sẽ là X1, X2 cho
0:00:46 - 0:00:52, đến Xn. Thì khi đó cái hàm mô hình của
0:00:48 - 0:00:55, mình sẽ viết gọn lại dướ dạng như sau.
0:00:52 - 0:00:58, Đó là FWBX
0:00:55 - 0:01:01, thì sẽ là bằng vectơ W nhân cho X. Thì
0:00:58 - 0:01:06, khi đó chúng ta sẽ nhân phân phối vô
0:01:01 - 0:01:08, từng phần tử W1X1, W2X2 và WN Xn.
0:01:06 - 0:01:12, Rồi cuối cùng đó là chúng ta sẽ cộng cho
0:01:08 - 0:01:16, thành phần bias. Thì đây là cái hàm mô
0:01:12 - 0:01:17, hình viết với dạng là vectơ hóa và W
0:01:16 - 0:01:22, nhân với X ở đây thì đây chính là cái ký
0:01:17 - 0:01:26, hiệu của cái phép tích vô hướng
0:01:22 - 0:01:26, của hai cái vecơ.
0:01:28 - 0:01:33, Thì chúng ta chú ý cái công thức này. Và
0:01:31 - 0:01:36, khi chúng ta đã có cái hàm mô hình rồi
0:01:33 - 0:01:38, thì chúng ta sẽ đi tính cái hàm chi phí
0:01:36 - 0:01:42, hay là hàm mất mát.
0:01:38 - 0:01:45, Ờ thì ở đây cái công thức của mình nó sẽ
0:01:42 - 0:01:48, là f wb
0:01:45 - 0:01:50, xy trừ cho cái giá trị thực tế của mẫu
0:01:48 - 0:01:54, dữ liệu thứ y tất cả bình phương. Và
0:01:50 - 0:01:56, chúng ta sẽ lấy tổng size số à trung
0:01:54 - 0:01:59, bình cộng của size số. Chúng ta lưu ý là
0:01:56 - 0:02:02, nó sẽ có một thêm cái con số hai ở đây.
0:01:59 - 0:02:04, Thì mục tiêu của nó đó là để cho khi
