0:00:01 - 0:00:13, [âm nhạc]
0:00:13 - 0:00:19, Trong những phần trước thì chúng ta à đã
0:00:16 - 0:00:22, tìm hiểu về cái mô hình hồi quy đơn
0:00:19 - 0:00:25, biến. Còn ở đây chúng ta sẽ tiến hành
0:00:22 - 0:00:28, tổng quát hóa nó lên để có cái mô hình
0:00:25 - 0:00:30, đó là hồi quy đa biến. Thế thì ở đây cái
0:00:28 - 0:00:34, khái niệm đơn biến và đa biến ở đây có ý
0:00:30 - 0:00:37, nghĩa là gì? Đó là đối với cái giá trị
0:00:34 - 0:00:40, mà dự đoán y của chúng ta thì trước đây
0:00:37 - 0:00:42, là y này chỉ bị phụ thuộc bởi duy nhất
0:00:40 - 0:00:46, một biến x
0:00:42 - 0:00:46, đó là một biến số.
0:00:48 - 0:00:53, Nhưng thực tế chúng ta thấy để đưa ra
0:00:50 - 0:00:55, một cái dự đoán nào đó thì thường nó sẽ
0:00:53 - 0:00:57, phải dựa trên rất nhiều những cái thông
0:00:55 - 0:01:00, tin đầu vào chứ không thể nào mà chỉ dựa
0:00:57 - 0:01:02, trên thông tin của một biến số là chúng
0:01:00 - 0:01:04, ta có thể đưa ra được cái dự đoán chính
0:01:02 - 0:01:07, xác được. Do đó thì chúng ta sẽ có cái
0:01:04 - 0:01:10, hàm y dự đoán của mình lúc này nó sẽ là
0:01:07 - 0:01:15, một cái hàm gồm nhiều hơn một biến. Cụ
0:01:10 - 0:01:18, thể ở đây đó là x1 ph x2
0:01:15 - 0:01:21, chấm chấm chấm.
0:01:18 - 0:01:23, Và cái số biến này thì nó sẽ có thể kéo
0:01:21 - 0:01:26, rất là dài. Như vậy thì áp dụng cái mô
0:01:23 - 0:01:27, hình hồi quy đa biến như thế nào thì đó
0:01:26 - 0:01:33, chính là cái nội dung chính mà chúng ta
0:01:27 - 0:01:33, sẽ cùng tìm hiểu trong phần tiếp theo.
0:01:33 - 0:01:38, Thì đầu tiên đó là giới thiệu về cái mô
0:01:36 - 0:01:40, hình hồi quyến tính à nhiều biến tên
0:01:38 - 0:01:42, tiếng Anh đó là multiple linear
0:01:40 - 0:01:47, regression. Đây là cái phương pháp mở
0:01:42 - 0:01:49, rộng của hồi quy tuyến tính một biến.
0:01:47 - 0:01:52, và mô hình hóa được cái mối quan hệ tiến
0:01:49 - 0:01:55, tính giữa nhiều biến đầu vào hay còn gọi
0:01:52 - 0:01:57, là nhiều cái đặc trưng đầu vào à và một
0:01:55 - 0:01:59, cái biến đầu ra liên tục. Thì như đã nói
0:01:57 - 0:02:03, tức là cái biến đầu ra liên tục của mình
0:01:59 - 0:02:06, nó chính là Y. Và mình mong muốn mình kỳ
0:02:03 - 0:02:09, vọng là y này nó sẽ bị phụ thuộc một
0:02:06 - 0:02:13, cách tuyến tính với một tập hợp các cái
0:02:09 - 0:02:16, biến số đầu vào
0:02:13 - 0:02:16, cho đến XM.
0:02:16 - 0:02:22, Thì khi đó cái hàm i của mình nó sẽ là
0:02:19 - 0:02:25, một cái hàm liên tục mà có nhiều cái
0:02:22 - 0:02:28, biến tầ vào. Có nhiều biến đầ vào.
0:02:25 - 0:02:30, Và mô hình của cái mối quan hệ này thì
0:02:28 - 0:02:32, lúc này nó sẽ không còn gọi là một đường
0:02:30 - 0:02:35, thẳng nữa mà lúc này nó sẽ chuyển sang
0:02:32 - 0:02:37, một cái khái niệm gọi là siêu phẳn hay
0:02:35 - 0:02:39, còn gọi là hyperplan. Trong cái không
0:02:37 - 0:02:41, gian nhiều chiều.
0:02:39 - 0:02:45, Trước đây thì chúng ta chỉ có một cái
0:02:41 - 0:02:47, không gian là một trục hành. là thể hiện
0:02:45 - 0:02:50, cái đặc trưng và trục tung là thể hiện
0:02:47 - 0:02:53, cái
0:02:50 - 0:02:55, giá trị liên tục mà cần dự đoán. Thế thì
0:02:53 - 0:02:57, nếu mà cái mô hình tuyến tính mà chỉ có
0:02:55 - 0:03:00, một cái ển biến x vào như thế này thì nó
0:02:57 - 0:03:02, sẽ tạo ra những cái đường thẳng
0:03:00 - 0:03:06, tạo ra những cái đường thẳng như thế này
0:03:02 - 0:03:09, thì lúc này là mô hình của mình sẽ chỉ
0:03:06 - 0:03:11, đơn giản là biểu diễn cho một biến nhưng
0:03:09 - 0:03:14, thực tế thì chúng ta sẽ có rất nhiều
0:03:11 - 0:03:14, biến.
0:03:14 - 0:03:22, Ví dụ x1, x2 đây. Và cái chiều cao của
0:03:18 - 0:03:25, mình chính là cái y. Thì lúc này cái mặt
0:03:22 - 0:03:28, để mà phân loại à để mà dự đoán của
0:03:25 - 0:03:31, chúng ta thì nó sẽ là một cái siêu
0:03:28 - 0:03:31, phẳng.
0:03:35 - 0:03:40, Nếu trong cái bài toán phân loại thì đó
0:03:37 - 0:03:42, nó sẽ tách ra làm hai cái không gian.
0:03:40 - 0:03:45, Đó. Rồi thì cái mối quan hệ siêu phẳng
0:03:42 - 0:03:47, này á à trong không gian nhiều chiều thì
0:03:45 - 0:03:48, thay vì nó là một đường thẳng như một
0:03:47 - 0:03:55, biến thì đối với trường hợp mà nhiều
0:03:48 - 0:03:55, biến thì cái à công thức của wx
0:03:55 - 0:04:00, cộng b
0:03:57 - 0:04:03, thì nếu như nó bằng một cái giá trị nào
0:04:00 - 0:04:06, đó bằng một cái giá trị c nào đó thì đây
0:04:03 - 0:04:09, là một phương trình và cái phương trình
0:04:06 - 0:04:10, này thì nó sẽ đại diện bởi một cái mặt
0:04:09 - 0:04:11, phẳng như thế này. nó không phải là một
0:04:10 - 0:04:13, đường thẳng nữa mà nó sẽ là một mặt
0:04:11 - 0:04:15, phẳng.
0:04:13 - 0:04:18, Thì ví dụ như chúng ta làm cái bài toán
0:04:15 - 0:04:21, là dự đoán giá nhà thì giá của một căn
0:04:18 - 0:04:23, nhà nó sẽ phụ thuộc bởi rất nhiều cái
