0:00:01 - 0:00:15, [âm nhạc]
0:00:13 - 0:00:18, Thì để các bạn có thể dễ dàng làm một
0:00:15 - 0:00:22, quen và sử dụng Google Collab thì tiếp
0:00:18 - 0:00:25, theo chúng ta sẽ nói về một số các cái
0:00:22 - 0:00:29, tiện ích hoặc là cái tips and trick các
0:00:25 - 0:00:33, mẹo vật cơ bản các bạn nên biết khi các
0:00:29 - 0:00:35, bạn làm việc với cái công cụ này.
0:00:33 - 0:00:37, Đầu tiên là các bạn phải biết cách quản
0:00:35 - 0:00:40, lý các cái tệp tin và thương mục mà
0:00:37 - 0:00:42, chúng ta đã tạo trong cái máy ảo mà
0:00:40 - 0:00:44, Google Collab cung cấp cho chúng ta cũng
0:00:42 - 0:00:48, như là phải biết làm việc một cách cơ
0:00:44 - 0:00:50, bản với cái máy ảo này thì các bạn có
0:00:48 - 0:00:53, thể hoàn toàn làm việc với cái máy ảo
0:00:50 - 0:00:55, này bằng các cái lệnh hoặc là lệnh của
0:00:53 - 0:00:58, Python ha. À các bạn có thể sử dụng các
0:00:55 - 0:01:00, cái lệnh Python như lệnh file, upload,
0:00:58 - 0:01:03, download hoặc là các bạn import thư viện
0:01:00 - 0:01:05, OS trong Python để các bạn xử lý liên
0:01:03 - 0:01:09, quan đến thư mục hoặc các bạn có thể sử
0:01:05 - 0:01:11, dụng các lệnh của Linux hoặc không. À
0:01:09 - 0:01:14, đơn giản hơn các bạn có thể đơn bấm vào
0:01:11 - 0:01:18, cái biểu tượng file bên trong cái thành
0:01:14 - 0:01:21, công cụ của Google Collab. các bạn sẽ
0:01:18 - 0:01:25, đến một cái cây thư mục à đây là cây thư
0:01:21 - 0:01:29, mục ừ của một máy
0:01:25 - 0:01:31, ư Linux, một máy a chủ ảo chạy hệ điều
0:01:29 - 0:01:33, hành Linux thì các bạn có thể trực tiếp
0:01:31 - 0:01:36, làm những thao tác cơ bản như là upload
0:01:33 - 0:01:38, file lên đây hoặc là các bạn có thể phải
0:01:36 - 0:01:41, chuột vào file và chọn download về máy
0:01:38 - 0:01:43, của mình. Hoặc các bạn có thể bật một
0:01:41 - 0:01:45, cái terminal
0:01:43 - 0:01:47, là các bạn trực tiếp gõ các cái lệnh
0:01:45 - 0:01:50, liên quan đến hệ điều hành Linux. Trong
0:01:47 - 0:01:52, cái terminal này nó cũng mô phỏng gần
0:01:50 - 0:01:55, giống với một terminal của hệ điều hành
0:01:52 - 0:01:57, Linux thật ha. Khi các bạn đã học môn
0:01:55 - 0:02:01, mach Machine learning thì có vẻ như sớm
0:01:57 - 0:02:04, muộn à các bạn cũng sẽ dần tập làm quen
0:02:01 - 0:02:08, với hệ điều hành Linux và đặc biệt là
0:02:04 - 0:02:10, Ubuntu. Đây là cái hệ điều hành gần như
0:02:08 - 0:02:13, là phổ biến nhất trong hệ sinh thái của
0:02:10 - 0:02:14, các cái máy chủ
0:02:13 - 0:02:17, hoặc là những cái máy có đủ cấu hình để
0:02:14 - 0:02:20, chạy những cái chương trình à machine
0:02:17 - 0:02:23, learning nghiêm túc thì hầu hết đều phải
0:02:20 - 0:02:26, chạy trên các cái máy chủ
0:02:23 - 0:02:28, thật hay ảo gì thì cũng không ít ai mà
0:02:26 - 0:02:30, chạy trực tiếp những cái code machine
0:02:28 - 0:02:33, learning trên máy tính cá nhân của mình.
0:02:30 - 0:02:35, Hầu hết người ta chỉ viết code phát
0:02:33 - 0:02:39, triển và để kiểm thử code thôi. Còn chạy
0:02:35 - 0:02:42, thật thì sẽ phải đưa lên máy chủ.
0:02:39 - 0:02:44, Đó các bạn phải làm quen với những cái
0:02:42 - 0:02:47, thao tác trên máy chủ như thế này. Và
0:02:44 - 0:02:49, Google Collab cung cấp cho các bạn đầy
0:02:47 - 0:02:53, đủ các loại giao diện. Giao diện Jupiter
0:02:49 - 0:02:56, Notebook. Các bạn có thể gõ code bằng
0:02:53 - 0:02:59, Python hoặc bằng các cái lệnh của U2. Ví
0:02:56 - 0:03:03, dụ như lệnh xem tập tin thư mục kiểm tra
0:02:59 - 0:03:05, đường dẫn của thư mục Thiện Hành à hoặc
0:03:03 - 0:03:09, là các bạn làm việc theo giao diện
0:03:05 - 0:03:12, Terminal hoặc theo giao diện web có một
0:03:09 - 0:03:14, cái trình quản lý file dạng cây thư mục
0:03:12 - 0:03:18, mà Google cung cấp sẵn cho các bạn. Các
0:03:14 - 0:03:21, bạn có thể dùng tool nào phù hợp với yêu
0:03:18 - 0:03:21, cầu của mình.
0:03:22 - 0:03:31, Tiếp theo các bạn phải biết cách tận
0:03:26 - 0:03:32, dụng GPU trong Google Collab. TPU là
0:03:31 - 0:03:35, cũng là một loại tài nguyên mà Google
0:03:32 - 0:03:37, cung cấp cho các bạn sử dụng miễn phí.
0:03:35 - 0:03:40, Tuy nhiên nó sẽ khó sử dụng hơn và trong
0:03:37 - 0:03:42, đa số trường hợp thì à hầu hết sinh viên
0:03:40 - 0:03:46, là mới làm quen với môn này sẽ không
0:03:42 - 0:03:49, biết sử dụng TPU. Đây là viết tắc của
0:03:46 - 0:03:54, Tenser Processing Unit. Thì nó là một
0:03:49 - 0:03:58, cái bộ vi xử lý do Google tự phát triển
0:03:54 - 0:04:00, à tự thiết kế ha. Đây là một cái chip xử
0:03:58 - 0:04:02, lý Google tự phát triển hoàn toàn để làm
0:04:00 - 0:04:05, việc phục vụ cho việc xử lý tính toán
0:04:02 - 0:04:08, hiệu năng cao. Nhưng mà do Google tự
0:04:05 - 0:04:11, phát triển nên tài liệu về cái vi xử lý
0:04:08 - 0:04:15, này khá là ít. Cách sử dụng thì cũng khó
0:04:11 - 0:04:18, nên hầu hết trường hợp các bạn sẽ sử
0:04:15 - 0:04:20, dụng GPU là nhiều.
0:04:18 - 0:04:22, Thì các bạn đầu tiên là phải biết cái
0:04:20 - 0:04:25, run time của mình, cái máy ảo của mình
0:04:22 - 0:04:29, đang chạy có hỗ trợ các cái tài nguyên
0:04:25 - 0:04:32, này hay không. Ở đây là ví dụ một cái
0:04:29 - 0:04:35, run time không có hỗ trợ các cái tài
0:04:32 - 0:04:37, nguyên tính toán nâng cao này. Nó chỉ có
0:04:35 - 0:04:40, hai core CPU đơn giản thôi. Thì các bạn
0:04:37 - 0:04:42, sẽ thấy giao diện ở đây. Đó, chúng ta
0:04:40 - 0:04:47, không có thông tin về các cái tài nguyên
0:04:42 - 0:04:50, tính toán. Hoặc là các bạn có thể vào
0:04:47 - 0:04:52, menu run time các bạn chọn manage
0:04:50 - 0:04:55, session. Đó thì các bạn cũng có thể thấy
0:04:52 - 0:04:57, loại section mình đang sử dụng à các
0:04:55 - 0:04:59, danh sách các section mình đang sử dụng
0:04:57 - 0:05:03, nó thuộc loại gì. Và nếu cần các bạn có
0:04:59 - 0:05:06, thể trend run time tể mình đổi loại tài
0:05:03 - 0:05:09, nguyên. Đó thì các cái tài nguyên này
0:05:06 - 0:05:13, Google Collab sẽ update tùy theo từng
0:05:09 - 0:05:15, thời kỳ ha. Đó à mặc định là sử dụng
0:05:13 - 0:05:17, CPU. Đây là loại tài nguyên đơn giản
0:05:15 - 0:05:21, nhất và các bạn có thể sử dụng cái máy
0:05:17 - 0:05:25, này khoảng 65 giờ. Nếu các bạn yêu cầu
0:05:21 - 0:05:27, cấp thêm à à không yêu cầu cấp lại một
0:05:25 - 0:05:29, cái run time, một cái máy chủ ảo có sử
0:05:27 - 0:05:32, dụng các tài nguyên tính toán nâng cao
0:05:29 - 0:05:35, thì đầu tiên là bạn sẽ disconnect cái
0:05:32 - 0:05:38, run time cũ. Tức là bạn phải tắt kết nối
0:05:35 - 0:05:40, với run time cũ. à hầu hết là sẽ bị ngắt
0:05:38 - 0:05:42, kết nối. Sau đó các bạn sẽ ngồi chờ
0:05:40 - 0:05:46, connecting tức là ngồi chờ Google Collab
0:05:42 - 0:05:48, cấp lại cả run time cho các bạn. Và khi
0:05:46 - 0:05:50, bạn được cấp lại run time mới bạn có thể
0:05:48 - 0:05:56, thấy ở đây à tôi đã được c một cái
0:05:50 - 0:05:58, Google comp như backend là sử dụng TB
0:05:56 - 0:06:02, Tensor processing unit.
0:05:58 - 0:06:04, Rồi thì tenser processing unit là cái
0:06:02 - 0:06:07, tài nguyên tính toán do Google tự phát
0:06:04 - 0:06:09, triển nên họ cấp cho các bạn dùng thử.
0:06:07 - 0:06:15, Nó cũng khá là dư giả. Chúng ta có
0:06:09 - 0:06:17, khoảng 300 GB RAM nha. 300 GB RAM nha
0:06:15 - 0:06:19, các bạn. Đây không phải là đĩa cứng, đây
0:06:17 - 0:06:22, là RAM.
0:06:19 - 0:06:25, Đó. Do tenser processing unit nó có rất
0:06:22 - 0:06:29, là nhiều core. À mỗi core có khoảng vài
0:06:25 - 0:06:32, GB RAM có sẵn cho nó ha. Tổng lại thì
0:06:29 - 0:06:34, các bạn có hàng trăm GB RAM như thế này
0:06:32 - 0:06:38, nhưng mà nó sẽ khó sử dụng. Còn thường
0:06:34 - 0:06:42, thì các bạn sẽ dùng à tài nguyên GPU là
0:06:38 - 0:06:47, nhiều. Đó. Đây là các cái tài nguyên xử
0:06:42 - 0:06:51, lý a do Nvidia thiết kế. Và cuối cùng
0:06:47 - 0:06:54, các bạn sẽ làm quen với việc viết các
0:06:51 - 0:06:57, cái đoạn ghi chú ha. Thì các cái ghi chú
0:06:54 - 0:07:00, trong Google Collab sẽ được viết bằng
0:06:57 - 0:07:03, cái ngôn ngữ gọi là ngôn ngữ mark down.
0:07:00 - 0:07:07, Đây là một cái ngôn ngữ à cho phép người
0:07:03 - 0:07:10, ta sử dụng văn bản thuần túy nhưng có
0:07:07 - 0:07:14, thể đính kèm những cái ký hiệu đặc biệt.
0:07:10 - 0:07:16, Ví dụ như dấu hai dấu sau này là đánh
0:07:14 - 0:07:19, dấu cái đoạn tác này cần phải được in
0:07:16 - 0:07:22, đậm khi hiển thị lên trên giao diện. Đó,
0:07:19 - 0:07:24, hai dấu sau là những đoạn text được in
0:07:22 - 0:07:27, đậm. Hoặc nếu các bạn muốn in nghiêng
0:07:24 - 0:07:30, thì chúng ta sẽ sử dụng một dấu sau đó
0:07:27 - 0:07:33, là in nghiêng. Đó, các bạn có thể đính
0:07:30 - 0:07:35, kem đường link hyperlink. Các bạn có thể
0:07:33 - 0:07:38, đánh số thứ tự cho những cái đoạn văn
0:07:35 - 0:07:41, này. Các bạn có thể đánh hoa thị cho
0:07:38 - 0:07:43, chúng và thậm chí các bạn có thể gõ công
0:07:41 - 0:07:46, thức toán.
0:07:43 - 0:07:49, À công thức toán thì sẽ được gõ bằng
0:07:46 - 0:07:53, ngôn ngữ latex. Ví dụ ngôn ngữ latex nếu
0:07:49 - 0:07:57, th ở đây chúng ta có thể gõ một à
0:07:53 - 0:07:57, fraction, một phân số.
0:07:58 - 0:08:05, phân số thì ta sẽ phải à
0:08:02 - 0:08:07, gõ là theo ngôn ngữ là t chúng ta sẽ đưa
0:08:05 - 0:08:10, vào trong
0:08:07 - 0:08:13, cái cặp dấu đô la như thế này ha. Đó,
0:08:10 - 0:08:15, đây là ký hiệu của công thức toán học
0:08:13 - 0:08:18, theo ngôn ngữ latex.
0:08:15 - 0:08:20, Thì ngôn ngữ latex có thể cho các bạn gõ
0:08:18 - 0:08:23, những cái công thức à có thể rất là phức
0:08:20 - 0:08:25, tạp. Ví dụ như phân số của chúng ta có
0:08:23 - 0:08:29, thể có
0:08:25 - 0:08:31, tử và mẫu là hai biểu thức chẳng hạn và
0:08:29 - 0:08:34, biểu thức có thể chứa những thành phần
0:08:31 - 0:08:37, phức tạp hơn. Ví dụ như biểu thức này có
0:08:34 - 0:08:41, thể chứa một lũy thừa
0:08:37 - 0:08:43, à vân vân. À và các bạn có thể
0:08:41 - 0:08:45, gõ gần như là tất cả những công thức
0:08:43 - 0:08:47, toán trong các cái môn toán cơ bản mà
0:08:45 - 0:08:52, các bạn đã học bằng cái ngôn ngữ LEX này
0:08:47 - 0:08:55, trực tiếp vào trong phần mô tả. của cái
0:08:52 - 0:08:58, notebook bên trong Google collab ha. Các
0:08:55 - 0:09:02, bạn cũng có thể insert em chèn cười vân
0:08:58 - 0:09:04, vân. Và đây đây là cái phần phần note
0:09:02 - 0:09:08, của một cái notebook à nó cho phép các
0:09:04 - 0:09:11, bạn định dạng lại cái note này
0:09:08 - 0:09:13, rất là dễ nhìn, rất là bắt mắt không
0:09:11 - 0:09:15, phải chỉ như mã nguồn ha. Nếu như mã
0:09:13 - 0:09:18, nguồn mà các bạn muốn ghi chú thì các
0:09:15 - 0:09:20, bạn chỉ có thể comment. Trong Python thì
0:09:18 - 0:09:23, chúng ta dùng dấu thăng để comment và
0:09:20 - 0:09:25, comment hoàn toàn là plan text là chữ
0:09:23 - 0:09:28, trơn thôi. Đó, còn trong notebook các
0:09:25 - 0:09:31, bạn có thể ghi chú comment bằng những
0:09:28 - 0:09:34, đoạn văn bản REX như thế này.
0:09:31 - 0:09:37, Ngoài ra Google Collab còn cung cấp cho
0:09:34 - 0:09:40, các bạn những cái đoạn code mẫu ha. Các
0:09:37 - 0:09:43, bạn nhấn vào biểu tượng code snipest. Ở
0:09:40 - 0:09:46, đây các bạn sẽ được danh sách những cái
0:09:43 - 0:09:50, đoạn code mẫu mà người ta thường hay sử
0:09:46 - 0:09:54, dụng trong Google Collab à để các bạn có
0:09:50 - 0:09:57, thể từ đó chỉnh sửa ra thành cái đoạn
0:09:54 - 0:09:59, chương trình riêng của mình. Có rất là
0:09:57 - 0:10:02, nhiều đoạn code mẫu ở đây người ta đặt
