0:00:01 - 0:00:13, [âm nhạc]
0:00:13 - 0:00:18, Trong phần tiếp theo thì chúng ta sẽ
0:00:15 - 0:00:21, cùng à tiến hành thực hành với mạng
0:00:18 - 0:00:25, Neuron nhân tạo. thì có thể nói các cái
0:00:21 - 0:00:28, kiến trúc mạng hiện đại à hiện nay à ví
0:00:25 - 0:00:31, dụ như là deep learning thì đều dựa trên
0:00:28 - 0:00:33, lý thuyết của mạng neuron nhân tạo. Tuy
0:00:31 - 0:00:35, nhiên làm sao mạng neuron nhân tạo có
0:00:33 - 0:00:39, thể giải quyết được các cái bài toán
0:00:35 - 0:00:43, hiện đại và nó có thể tổng quát hóa để
0:00:39 - 0:00:45, có thể phát triển thành những cái mạng
0:00:43 - 0:00:49, nâng cao ví dụ như là mạng CNN hoặc là
0:00:45 - 0:00:52, mạng RNN. Và gần đây hơn thì có cái kiến
0:00:49 - 0:00:52, trúc mạng là Transformer
0:00:53 - 0:01:01, thì mạng Neuro Network nó đã tạo một cái
0:00:57 - 0:01:02, tiền đề để có thể phát triển những cái
0:01:01 - 0:01:05, kiến thức mạng deep learning, những cái
0:01:02 - 0:01:08, mạng học sau về sau. Vậy thì bằng cách
0:01:05 - 0:01:10, nào mà mạng Neuronetwork có thể giúp cho
0:01:08 - 0:01:13, chúng ta giải quyết được các cái bài
0:01:10 - 0:01:15, toán phức tạp hay cụ thể hơn đó là các
0:01:13 - 0:01:17, cái bài toán phi tiếng tính? Thì trong
0:01:15 - 0:01:21, nội dung của bài thực hành này, chúng ta
0:01:17 - 0:01:22, sẽ đến với à những cái bước đi đầu tiên
0:01:21 - 0:01:27, trong việc là cài đặt một cái mạng
0:01:22 - 0:01:30, neuron nhân tạo. Và chúng ta sẽ lý giải
0:01:27 - 0:01:33, tại sao mạng Nuron nhân tạo có thể giải
0:01:30 - 0:01:35, quyết được các cái bài toán phức tạp.
0:01:33 - 0:01:38, Thì nội dung của bài thực hành ngày hôm
0:01:35 - 0:01:42, nay sẽ có những cái phần chính như sau.
0:01:38 - 0:01:44, Đầu tiên đó là chúng ta sẽ cài đặt một
0:01:42 - 0:01:46, cái kiến trúc mạng neuron nhân tạo đơn
0:01:44 - 0:01:50, giản. Thì ở đây chỉ bao gồm là một lớp
0:01:46 - 0:01:52, ẩn. Rồi sau đó thì chúng ta sẽ cùng trực
0:01:50 - 0:01:54, quan hóa và tìm hiểu cái vai trò của lớp
0:01:52 - 0:01:57, ẩn trong cái việc là giải quyết các cái
0:01:54 - 0:02:00, bài toán phi tuyến tính. Tức là tại sao
0:01:57 - 0:02:02, chúng ta có thể dùng lớp ẩn thêm một cái
0:02:00 - 0:02:04, lớp ẩn thì nó sẽ giải quyết được một cái
0:02:02 - 0:02:06, bài toán phi tuyến tính. Trong khi đó
0:02:04 - 0:02:08, nếu như chỉ có hai lớp input và lớp
0:02:06 - 0:02:10, output thôi thì lại không có thể giải
0:02:08 - 0:02:11, quyết được các cái bài toán phi tiếng
0:02:10 - 0:02:13, tính.
0:02:11 - 0:02:15, Và chúng ta sẽ tiến hành trực quan hóa
0:02:13 - 0:02:19, cái mạng neuron nhân tạo này trong cái
0:02:15 - 0:02:21, việc đó là à các cái mạng neuron ở các
0:02:19 - 0:02:23, cái lớp ẩn, các cái neuron ở lớp ẩn nó
0:02:21 - 0:02:26, đã giúp cho chúng ta
0:02:23 - 0:02:32, phi tuyến hóa và giải quyết các cái bài
0:02:26 - 0:02:32, toán phức tạp như thế nào. Thế thì để
0:02:32 - 0:02:36, ạ neuro nhân tạo thì chúng ta sẽ phải có
0:02:34 - 0:02:39, một cái tập dữ liệu để thực nghiệm. Thì
0:02:36 - 0:02:41, cụ thể ở đây đó là tập bao gồm hai cái
0:02:39 - 0:02:44, vòng tròn.
0:02:41 - 0:02:46, lồng nhau. Thì với cái tập dữ liệu là
0:02:44 - 0:02:50, hai màu đỏ và màu xanh chúng ta thấy ở
0:02:46 - 0:02:54, đây thì đây là một cái tập dữ liệu mà nó
0:02:50 - 0:02:54, có tính chất phi tuyến tính.
0:02:54 - 0:02:58, Thế thì cái tính chất phi tuyến tính á
0:02:56 - 0:03:01, nó thể hiện ở chỗ nào? Cái tính chất phi
0:02:58 - 0:03:05, tuyến tính nó thể hiện ở chỗ là không
0:03:01 - 0:03:08, thể chia hai cái tập ờ màu đỏ và màu
0:03:05 - 0:03:10, xanh này bằng duy nhất một cái đường
0:03:08 - 0:03:13, thẳng. Chúng ta thấy là với cái đường
0:03:10 - 0:03:16, thẳng này thì nó chỉ có thể tách ra là
0:03:13 - 0:03:19, màu đỏ và một vùng còn lại là vừa có đỏ
0:03:16 - 0:03:21, và xanh. Đó. Hoặc đường này thì chúng ta
0:03:19 - 0:03:23, thấy là nó chia ra làm hai phần. Tuy
0:03:21 - 0:03:26, nhiên cả hai phần thì đều có các điểm
0:03:23 - 0:03:28, màu đỏ và màu xanh. Như vậy thì rõ ràng
0:03:26 - 0:03:31, không thể nào có thể chia tách ra được
0:03:28 - 0:03:32, bằng một đường thẳng. Mà nếu muốn chia
0:03:31 - 0:03:35, tách được thì chúng ta sẽ phải có một
0:03:32 - 0:03:38, cái đường cong như thế này thì mới có
0:03:35 - 0:03:41, thể chia ra làm hai phần thôi. Như vậy
0:03:38 - 0:03:42, thì trong cái
0:03:41 - 0:03:45, tập dữ liệu mà có tính chất phi tuyến
0:03:42 - 0:03:47, tính này và lưu ý là cái dữ liệu này nó
0:03:45 - 0:03:50, cũng chỉ mới là một cái dữ liệu bước đầu
0:03:47 - 0:03:52, thôi chứ nó chưa thực sự quá là phức
0:03:50 - 0:03:55, tạp. Trong các cái bài toán phức tạp hơn
0:03:52 - 0:03:57, thì cái tính chất phi tuyến tính và cái
0:03:55 - 0:03:58, tính zízắc của nó nó còn nhiều hơn như
