0:00:01 - 0:00:13, [âm nhạc]
0:00:19 - 0:00:23, Hồi quy tuyến tính đa biến.
0:00:26 - 0:00:31, Hồi quy tiến tính nhiều biến Multiple
0:00:28 - 0:00:34, linear regression là phương pháp mở rộng
0:00:31 - 0:00:36, của hồi quy tuyến tính một biến.
0:00:34 - 0:00:39, Mô hình hóa mối quan hệ tuyến tính giữa
0:00:36 - 0:00:41, nhiều biến đầu vào và một biến đầu ra
0:00:39 - 0:00:44, liên tục.
0:00:41 - 0:00:46, Mô hình của mối quan hệ này là một siêu
0:00:44 - 0:00:48, phẳng hyperplan trong không gian nhiều
0:00:46 - 0:00:51, chiều thay vì chỉ là một đường thẳng như
0:00:48 - 0:00:53, trường hợp một biến đầu vào. Ví dụ như
0:00:51 - 0:00:55, dự đoán giá nhà dựa trên các yếu tố như
0:00:53 - 0:00:58, diện tích, vị trí, số phòng, năm xây
0:00:55 - 0:01:00, dựng vân vân.
0:00:58 - 0:01:03, Tại sao chúng ta cần nhiều biến? Bởi vì
0:01:00 - 0:01:06, trong thực tế một kết quả output thường
0:01:03 - 0:01:07, bị chi phối bởi nhiều yếu tố khác nhau.
0:01:06 - 0:01:10, Ví dụ giá nhà không chỉ phụ thuộc vào
0:01:07 - 0:01:13, diện tích mà còn phụ thuộc vào vị trí số
0:01:10 - 0:01:16, phòng năm xây dựng. Nếu chỉ dùng một
0:01:13 - 0:01:19, biến mô hình bỏ qua nhiều thông tin quan
0:01:16 - 0:01:22, trọng dẫn tới dự đoán kém chính xác
0:01:19 - 0:01:24, underfitting không phản ánh được đầy đủ
0:01:22 - 0:01:26, mối quan hệ trong dữ liệu thực tế.
0:01:24 - 0:01:28, Trong thực tế thì ta thường có nhiều đặc
0:01:26 - 0:01:30, trưng để mô tả đối tượng. Việc sử dụng
0:01:28 - 0:01:32, nhiều biến giúp chúng ta khai thác tối
0:01:30 - 0:01:35, đa giá trị của dữ liệu và sử dụng nhiều
0:01:32 - 0:01:37, biến giúp mô hình dự đoán chính xác hơn,
0:01:35 - 0:01:42, có thể phân tích được ảnh hưởng của từng
0:01:37 - 0:01:42, yếu tố đến kết quả đầu ra.
0:01:42 - 0:01:46, Để minh họa cụ thể cho bài toán hồi quy
0:01:44 - 0:01:48, tuyến tính nhiều biến, chúng ta sẽ sử
0:01:46 - 0:01:50, dụng một bộ dữ liệu giả lập về giá nhà.
0:01:48 - 0:01:53, Trong bảng này thì mỗi dòng đại diện cho
0:01:50 - 0:01:55, một căn nhà với các thông tin đặc chân
0:01:53 - 0:01:58, như diện tích mét vuông, số phòng ngủ,
0:01:55 - 0:02:00, năm xây dựng, tình trạng tổng thể, đánh
0:01:58 - 0:02:02, giá chất lượng theo thang điểm từ 1 đến
0:02:00 - 0:02:04, 10. Và cột cuối cùng là giá nhà thực tế
0:02:02 - 0:02:06, tính bằng đơn vị triệu Việt Nam đồng.
0:02:04 - 0:02:08, Đây chính là biến đầu ra mà chúng ta
0:02:06 - 0:02:09, muốn dự đoán.
0:02:08 - 0:02:12, Với dữ liệu như thế này thì mô hình sẽ
0:02:09 - 0:02:14, không chỉ dựa vào một yếu tố mà sẽ học
0:02:12 - 0:02:17, cách kết hợp đồng thời nhiều yếu tố từ
0:02:14 - 0:02:19, đó đưa ra giá trị dự đoán hợp lý và xát
0:02:17 - 0:02:21, thực tế hơn.
0:02:19 - 0:02:23, Như vậy bài toán dự đoán giá nhà không
0:02:21 - 0:02:25, còn đơn giản là càng rộng càng đắc mà
0:02:23 - 0:02:30, còn phải xét đến số phòng, độ mới, chất
0:02:25 - 0:02:30, lượng tổng thể và nhiều yếu tố khác.
0:02:31 - 0:02:35, Tương tự thì chúng ta sẽ
0:02:35 - 0:02:40, thiết kế cái mô hình toán học cho bài
0:02:36 - 0:02:42, toán hồi ký tuyến tính nhiều biến thì nó
0:02:40 - 0:02:46, sẽ được mô tả bằng một tập hợp các cái
0:02:42 - 0:02:48, đặc trưng. Ở đây là XJ là feature thứ J
0:02:46 - 0:02:52, với J chạy từ 1 đến n. Trong đó N là số
0:02:48 - 0:02:54, lượng đặc trưng. XY
0:02:52 - 0:02:57, là vectơ đặc trưng của mẫu thứ y. Ví dụ
0:02:54 - 0:03:00, nếu y = 2 thì chúng ta sẽ thấy cái giống
0:02:57 - 0:03:04, như tương tự biểu diễn dưới dạng à biểu
0:03:00 - 0:03:04, đồ vecơ cột.
0:03:04 - 0:03:09, Thì chúng ta vừa học cách mô tả của một
0:03:06 - 0:03:12, đối tượng ví dụ như căn nhà bằng vecơ
0:03:09 - 0:03:13, đặc trưng x để dự đoán giá trị. Ví dụ
0:03:12 - 0:03:16, giá nhà thì chúng ta xây dựng một mô
0:03:13 - 0:03:20, hình hồi quyến tính. Trong đó mỗi đặc
0:03:16 - 0:03:21, chân được gán với một trọng số à WJ. Thế
0:03:20 - 0:03:24, thì như vậy chúng ta sẽ có công thức
0:03:21 - 0:03:28, tổng quát là FWBX
0:03:24 - 0:03:32, thì bằng W1X1 + W2X2
0:03:28 - 0:03:34, cộng WN Xn + B.
0:03:32 - 0:03:36, Thì ở đây B là hệ số chặn, X là vectơ
0:03:34 - 0:03:39, đặc trưng của một đối tượng và WJ là
0:03:36 - 0:03:42, trọng số hệ số tương ứng với đặc trưng
0:03:39 - 0:03:44, XJ.
0:03:42 - 0:03:46, Để công thức gọn hơn thì chúng ta dùng
0:03:44 - 0:03:49, ký hiệu vecơ gom tất cả trọng số vào
0:03:46 - 0:03:53, thành vectơ W. Tất cả các đặc trưng thì
0:03:49 - 0:03:56, thành vectơ x. Và khi đó thì mô hình
0:03:53 - 0:03:59, chúng ta sẽ còn chỉ còn viết lại là w x
0:03:56 - 0:04:02, + pi và trong đó wx là tích vô hướng hai
0:03:59 - 0:04:02, vectơ.
0:04:02 - 0:04:08, Ở phần trước thì chúng ta biết hàm mất
0:04:05 - 0:04:10, mát MSC dùng để đo lường mức độ sai lệch
0:04:08 - 0:04:13, giữa giá trị thực tế và giá trị dự đoán
0:04:10 - 0:04:15, của mô hình. Thì khi mổ rộng sang hồi
0:04:13 - 0:04:17, quy nhiều biến thì chúng ta vẫn sử dụng
0:04:15 - 0:04:19, MSC như là hàm bất mắt lot function và
0:04:17 - 0:04:21, định nghĩa hàm chi phí cost function
0:04:19 - 0:04:25, JWB.
0:04:21 - 0:04:29, À như chúng ta thấy trên slide ở đây.
0:04:25 - 0:04:32, Ở đây thì W là trọng vectơ trọng số và
0:04:29 - 0:04:35, hệ số chặn. XY là vectơ đặc trưng của
0:04:32 - 0:04:37, mẫu thứ y và M là số lượng mẫu trong tập
0:04:35 - 0:04:41, huấn luyện. Mục tiêu của thuật toán là
0:04:37 - 0:04:43, tìm W và B sao cho hàm chi phí JW WB đạt
0:04:41 - 0:04:48, giá trị nhỏ nhất, tức là mô hình dự đoán
0:04:43 - 0:04:48, càng gần với giá trị thực tế càng tốt.
0:04:51 - 0:04:55, Để giải cái bài toán tối ưu này thì
0:04:53 - 0:04:57, chúng ta dùng thuật toán gradient design
0:04:55 - 0:04:59, tương tự giống như hồi quy tiến tính một
0:04:57 - 0:05:02, biến. Thì trước khi đi vào cụ thể thì
0:04:59 - 0:05:04, chúng ta hãy nhìn vào một cách tổng quát
0:05:02 - 0:05:06, của thuậc toán gradient sau hiệu kỳ tiến
0:05:04 - 0:05:08, tính nhiều biến.
0:05:06 - 0:05:10, Thì ở mỗi bước lập thì chúng ta sẽ cập
0:05:08 - 0:05:12, nhật lại trọng số của WJ theo hướng
0:05:10 - 0:05:16, ngược lại với đạo hàm riêng của hàm chi
0:05:12 - 0:05:20, phí JW đối với WJ với tốc độ điều chỉnh
0:05:16 - 0:05:20, do tham số lên ray quyết định.
0:05:25 - 0:05:29, Ở đây thì chúng ta có công thức của đạo
0:05:27 - 0:05:33, hình riêng của hàm chi phí J theo từng
0:05:29 - 0:05:37, WJ và từ đó thì chúng ta sẽ có công thức
0:05:33 - 0:05:40, cập nhật cho từng trọng số WJ và pi là
0:05:37 - 0:05:43, như trên hình mà chúng ta thấy. Cái này
0:05:40 - 0:05:45, các bạn có thể kiểm tra lại chi tiết
0:05:43 - 0:05:48, hơn. Và cuối cùng thì đây là cái thuật
0:05:45 - 0:05:51, toán gradient des thì nó cũng sẽ gồm có
0:05:48 - 0:05:53, ba bước chính. Thứ nhất là khởi tạo và
0:05:51 - 0:05:55, thông thường thì các giá trị khởi tạo
0:05:53 - 0:05:57, các giá trị của trọng số và hệ số chặn
0:05:55 - 0:06:00, thường là không hoặc là lấy một cái giá
0:05:57 - 0:06:02, trị ngẫu nhiên và chúng ta lập cho tới
0:06:00 - 0:06:04, khi hội tụ thì chúng ta sẽ tính đạo hàm
0:06:02 - 0:06:07, chi phí theo từng
0:06:04 - 0:06:10, wj và pi và sau đó chúng ta sẽ cập nhật
